Word,Frequency
the,6654
of,3449
and,2253
a,2219
in,2102
to,1783
is,1544
we,1196
that,1181
by,641
at,635
function,618
as,609
this,580
for,565
point,550
on,473
f,459
beginequation,456
endequation,456
integrals,417
vector,410
with,406
are,405
x,398
be,368
functions,366
text,355
what,355
find,351
y,347
integral,335
double,330
an,321
coordinates,321
derivatives,308
if,298
fxy,297
can,296
two,281
vectors,280
variables,280
use,275
t,267
from,267
how,262
given,251
vu,247
then,231
partial,229
langle,228
vv,224
value,224
points,217
over,214
you,212
have,211
product,210
which,208
where,203
amp,203
direction,203
curve,197
defined,197
area,196
r,195
let,194
delta,194
line,192
z,191
determine,189
surface,187
iterated,186
plane,184
it,183
calculus,181
change,178
multivariable,178
length,178
will,177
activity,176
each,176
leq,168
tangent,165
vrt,164
space,164
or,163
vectorvalued,163
figure,161
your,160
us,156
consider,152
right,152
graph,145
derivative,145
polar,144
one,144
rangle,142
these,141
not,141
s,141
so,138
triple,137
do,136
shown,134
d,132
times,130
explain,129
when,129
region,127
xy,125
about,124
has,122
volume,122
our,119
equation,119
b,119
cross,117
values,117
left,117
set,117
mass,116
between,115
may,115
does,114
variable,113
planes,112
evaluate,112
write,110
its,109
using,108
vvtext,105
three,105
following,103
subsection,102
domain,102
angle,102
nabla,100
fracpartial,100
da,100
spherical,99
all,99
suppose,98
any,96
dot,96
cylindrical,96
lines,95
several,95
definition,94
general,94
ttext,93
optimization,93
unit,93
displaystyle,91
rule,91
ytext,91
riemann,90
c,89
limits,89
why,88
form,88
rectangular,88
theta,88
same,88
solid,87
cdot,87
trace,87
rangletext,87
p,84
whose,84
sum,84
along,83
preview,82
active,82
see,82
first,82
single,81
such,81
maximum,81
limit,81
constant,80
critical,80
more,80
some,79
also,79
origin,78
dx,78
dy,77
rate,77
arc,77
both,77
work,76
gradient,75
terms,75
matter,75
curvature,75
example,74
but,74
xtext,74
chain,73
now,73
object,73
distance,73
scalar,73
newcommandvbmathbfb,72
newcommandvnmathbfn,72
newcommandvrmathbfr,72
equations,72
circle,72
newcommandvcmathbfc,72
rtext,71
different,71
g,69
section,69
x2,68
up,68
density,67
