Word,Frequency
the,12275
of,6695
to,4201
a,4069
and,3610
is,3187
in,2496
we,2458
that,2417
for,1782
function,1643
at,1426
on,1130
by,1102
this,1072
series,1062
x,1034
derivative,1001
as,901
text,874
using,855
endequation,845
beginequation,845
functions,841
an,825
f,755
fx,746
derivatives,709
value,700
find,683
with,675
if,655
y,627
are,619
can,613
definite,596
what,589
be,579
integrals,572
integral,565
how,557
given,537
it,512
differential,511
use,504
or,493
velocity,483
from,473
graph,464
you,459
sum,453
which,440
interval,429
have,425
calculus,419
activity,419
equation,413
line,390
rule,387
values,386
point,379
where,378
each,366
equations,360
area,354
rate,353
limit,347
t,346
will,339
then,338
tangent,332
subsection,319
not,314
taylor,314
determine,308
so,305
change,303
second,302
integration,300
its,299
your,297
exercises,293
work,283
answer,282
time,282
dx,278
left,276
other,275
displaystyle,273
first,269
gx,268
one,263
right,262
does,262
do,261
when,259
us,259
has,258
evaluate,254
rules,249
mass,248
constant,247
lt,246
two,243
int,241
c,240
about,240
all,238
why,237
our,237
figure,236
delta,229
limits,228
consider,228
theorem,228
b,227
xtext,226
let,222
section,220
following,217
any,212
formula,211
cdot,210
fundamental,205
distance,205
example,205
population,203
product,200
behavior,197
number,197
see,195
explain,194
numbers,193
ftext,190
antiderivatives,189
know,189
riemann,185
average,184
terms,183
approximation,183
more,183
dxtext,182
infty,181
volume,179
sequences,177
sums,177
power,173
limx,173
slope,172
between,171
but,171
solutions,169
these,169
positive,168
answers,167
compute,166
antiderivative,165
atext,165
whose,165
suppose,165
traveled,164
g,164
amp,164
real,163
read,162
x2,161
geometric,161
per,161
solution,161
optimization,160
such,158
there,158
now,157
write,156
method,154
total,153
position,153
finding,152
table,151
definition,150
matter,150
active,149
h,149
curve,148
colophon,148
say,147
both,146
thus,145
alternating,144
length,143
object,143
because,143
problem,143
related,141
test,141
p,141
feet,140
parts,139
sequence,139
density,138
sketch,138
quotient,137
also,137
converges,137
graphs,135
water,134
preview,134
algebraic,133
n,133
accurate,132
chain,132
estimate,132
polynomials,131
exact,131
increasing,130
improper,129
same,128
fxtext,128
instantaneous,128
continuous,127
describe,124
provided,124
force,124
inverse,123
points,123
s,122
only,121
identify,121
units,121
questions,120
axes,120
note,120
eulers,119
while,119
since,118
differentiable,117
some,117
evaluating,116
computing,116
trigonometric,116
center,115
maximum,115
ak,115
global,114
r,113
growth,113
decreasing,112
le,112
sine,112
up,111
over,111
different,111
partial,110
rates,110
measure,108
initial,107
activities,107
students,106
v,105
possible,105
particular,105
substitution,105
every,104
form,104
than,103
understanding,103
information,102
vt,102
pressure,101
bounded,101
estimating,101
region,100
logistic,100
cdots,99
concave,99
k,99
tells,99
extreme,98
intab,97
separable,97
paragraph,97
way,96
moving,96
applied,96
well,96
result,96
may,95
determining,95
elementary,95
abtext,94
gt,94
cosine,94
negative,93
critical,93
follows,93
important,93
being,92
found,92
think,92
ttext,92
sn,92
general,92
amount,91
observe,91
measured,91
short,91
implicitly,90
make,90
slice,90
tank,89
fa,89
height,89
applications,88
minimum,88
back,87
approximate,87
sumk1infty,87
instance,87
like,87
used,87
notion,87
main,86
ex,86
families,86
options,86
defined,85
ft,84
numerical,83
ctext,83
polynomial,83
sign,83
along,82
dt,82
instructors,81
interpreting,80
constructing,80
shown,80
hx,80
results,79
continuity,79
selected,79
index,79
introduction,78
original,78
above,78
modeling,78
features,78
convergence,78
qualitative,77
horizontal,77
st,77
physics,77
goals,77
many,77
differentiability,77
assume,77
sinx,77
approx,76
variable,75
des,75
without,75
several,74
notation,74
acknowledgements,74
large,74
ac,74
pretext,74
their,74
linear,74
fact,73
should,73
close,73
contributors,73
whether,73
matthew,72
boelkins,72
next,71
front,71
involving,71
times,71
declaremathoperatorerferf,70
contentsprevupnext,70
newcommandlt,70
newcommandgt,70
newcommandamp,70
skip,70
declaremathoperatorarcsecarcsec,70
declaremathoperatorarctanharctanh,70
feedbackauthored,70
contentnewcommanddollar,70
contents,70
changing,70
basic,69
infinite,69
order,69
indexprevupnext,69
corresponding,69
centered,69
px,69
local,69
lines,68
recall,68
must,67
called,67
through,67
down,66
under,66
domain,66
three,66
hence,66
mathstrut,65
error,65
difference,65
gtext,65
beginalign,65
u,65
endalign,65
interest,64
approach,64
known,64
inftytext,64
small,64
quantity,63
expression,63
vertical,63
sumk0infty,63
solid,63
intervals,63
curves,63
meaning,63
respect,63
single,63
new,62
htext,62
term,62
near,62
much,62
often,61
rectangles,61
pi,61
diverges,61
plot,60
addition,60
take,59
would,59
ab,59
btext,59
gxtext,59
ytext,58
zero,58
objects,58
natural,58
need,58
dttext,58
nth,58
m,57
show,57
absolute,57
taking,57
part,57
converge,57
summary,57
axis,57
ball,56
apply,56
d,56
similar,56
pt,56
equal,55
pictured,55
relative,55
xaxis,55
radius,55
based,55
finite,54
represents,54
below,54
changes,53
fracddx,53
include,53
certain,53
after,53
into,53
problems,53
frac12,53
motivating,52
day,52
most,51
therefore,51
x3,50
l,50
differentiate,50
shows,50
key,50
solve,50
they,49
ratio,49
ax,49
indefinite,49
a2,48
finally,48
temperature,48
account,47
int01,47
x2text,47
plotting,47
leq,47
cubic,47
rectangle,47
state,47
revolution,47
appropriate,47
ideas,46
multiple,46
even,46
integrand,46
compare,46
ptext,45
cosx,45
out,45
tell,45
either,45
end,45
very,45
no,45
set,45
just,45
areas,45
fracdydt,44
data,44
always,43
et,43
long,43
t2,43
year,42
minutes,42
explore,42
2text,42
construct,42
variables,42
exercise,42
model,42
weight,41
ktext,41
limh,41
trapezoid,41
exist,41
want,40
expect,40
sides,40
familiar,40
top,40
straight,40
ftc,40
situation,40
stext,40
measures,40
instead,40
exponential,40
convergent,40
get,39
means,39
bound,39
here,39
exactly,39
rather,39
represent,39
5text,39
pollution,39
approximations,39
simply,38
process,38
side,38
quantities,38
composite,38
sense,38
TRUE,38
label,38
cx,37
sentence,37
usubstitution,37
another,37
clearly,37
f2,37
equilibrium,37
was,37
lake,37
signed,37
input,37
neither,36
degree,36
chart,36
approaches,36
lies,36
bar,36
case,36
depends,36
understand,36
du,36
seen,35
assemblage,35
ntext,35
e,35
rx,35
endpoints,35
idea,35
typical,35
cost,35
least,34
location,34
generated,34
money,34
draw,34
a1,34
f1,34
0text,34
those,34
carefully,34
among,34
similarly,34
righthand,34
larger,33
fp,33
fracdpdt,33
vtext,33
begin,33
whenever,33
fracdydx,33
relationship,33
call,33
them,33
car,33
makes,33
examples,33
depth,32
help,32
labeled,32
implicit,32
doing,32
chapter,32
lets,32
sometimes,32
field,32
integrate,32
net,32
interested,31
remember,31
qx,31
family,31
pay,31
additional,31
words,31
quadratic,31
loan,31
complete,31
happens,31
subintervals,31
develop,31
satisfies,30
overall,30
before,30
investigate,30
f0text,30
sinxtext,30
concavity,30
rhox,30
differentiating,30
4text,30
divergence,30
secant,30
move,30
representative,30
slopes,30
ne,30
question,30
arbitrary,30
yaxis,29
writing,29
calculate,29
years,29
careful,29
y0,29
month,29
considered,29
midpoint,29
frac1x,29
itself,29
less,29
fgx,29
seconds,29
instant,29
x4,29
1text,29
could,29
pm,29
minute,29
limn,28
resulting,28
integrating,28
integer,28
increases,28
four,28
indeed,28
helpful,28
fatext,28
rational,28
base,28
rtext,28
meters,28
dollars,28
linearization,28
fixed,28
mean,28
differentiation,27
decide,27
involve,27
box,27
computed,27
i,27
including,27
technology,27
solving,27
rt,27
steps,27
fast,27
exists,26
unknown,26
throughout,26
inner,26
scale,26
y2,26
around,26
circle,26
further,26
provides,26
int1infty,26
lhôpitals,26
simple,26
principal,26
preceding,26
frac13,26
obtain,26
aktext,26
vttext,26
piecewise,26
formulas,26
described,26
parameters,26
increase,26
unit,26
observations,25
turns,25
square,25
according,25
s2,25
class,25
however,25
denominator,25
limk,25
middle,25
harmonic,25
comparison,25
factor,25
bk,25
greater,25
allows,25
still,25
respective,25
provide,24
lx,24
q,24
p0,24
triangle,24
shape,24
look,24
frac1x2,24
algebra,24
ways,24
foot,24
add,24
approximately,24
been,24
frac,24
ldots,24
present,24
required,24
applying,24
written,24
locations,24
define,23
ge,23
stable,23
grid,23
far,23
fraction,23
z,23
person,23
nonnegative,23
relevant,23
holds,23
evaluated,23
mathematics,23
indeterminate,23
particularly,23
inches,22
gives,22
expansion,22
f0,22
bucket,22
choose,22
give,22
mn,22
choice,22
revolve,22
heights,22
fracdvdt,22
p2x,22
slices,22
cas,22
complicated,22
numerator,22
straightforward,22
version,22
bottom,22
connected,22
cannot,22
view,22
cone,22
common,22
afatext,22
proper,22
fx2,21
study,21
actually,21
sure,21
course,21
hour,21
sttext,21
within,21
earlier,21
she,21
extext,21
cosxtext,21
better,21
best,21
gvsu,21
angle,21
previous,21
introduce,21
thin,21
involves,21
due,21
entire,21
good,21
inflection,21
his,21
revolving,21
yt,21
appears,21
output,21
picture,21
logarithm,21
developed,21
p20,21
too,21
fracpi2,21
off,20
unstable,20
a3,20
rn,20
dv,20
int0x,20
shares,20
sand,20
properties,20
check,20
tanx,20
enables,20
period,20
xi,20
“the,20
third,20
says,20
describes,20
stated,20
dam,20
notice,20
occurs,20
setting,20
pnx,19
statement,19
list,19
sint,19
hold,19
ltext,19
portion,19
weighted,19
dydt,19
six,19
errors,19
pounds,19
vertically,19
ln,19
discuss,19
goal,19
situations,19
applet,19
precisely,19
simplify,19
system,19
x0,19
sufficiently,19
did,19
coffee,19
denote,19
graphing,19
fxi,19
outer,19
fb,19
turn,19
assuming,19
thinking,19
people,18
frac1k2,18
decrease,18
constants,18
approximating,18
frac1k,18
afa,18
principle,18
together,18
start,18
textand,18
fracfxgx,18
x1,18
x0text,18
direction,18
ln2text,18
infinity,18
lnx,18
ask,18
completely,18
structure,18
were,18
option,18
discussion,18
plus,18
useful,18
html,18
having,18
david,18
lefthand,18
closer,18
arctanx,18
physical,18
smaller,17
saw,17
easily,17
growing,17
role,17
step,17
fish,17
spring,17
distributed,17
item,17
fx1,17
encountered,17
central,17
takes,17
regardless,17
name,17
air,17
relates,17
plastic,17
proportional,17
leads,17
continue,17
uses,17
capita,17
t3,17
share,17
gallons,17
might,17
viewed,16
wide,16
book,16
fracdrdt,16
formally,16
knowing,16
graphically,16
algebraically,16
hxtext,16
involved,16
decreases,16
webwork,16
diverge,16
context,16
almost,16
cm,16
multiplying,16
few,16
ldotstext,16
miles,16
6text,16
learned,16
y1,16
able,16
reasoning,16
initially,16
independent,16
ht,16
collection,16
her,16
during,16
longterm,16
approximates,16
university,16
appear,16
ex2,16
lie,16
learn,16
property,16
actual,16
simpler,16
suggests,16
simpsons,16
demonstrate,16
interesting,16
decimal,16
support,16
justify,15
level,15
diagram,15
special,15
arise,15
depend,15
etext,15
fails,15
paid,15
balloon,15
fractions,15
p1,15
absolutely,15
generate,15
degrees,15
remains,15
various,15
fail,15
rapidly,15
unbounded,15
width,15
chapters,15
who,15
monthly,15
typically,15
xa,15
conditionally,15
r2,15
differences,15
fc,15
later,15
across,14
specific,14
ln2,14
lntext,14
body,14
equivalently,14
standard,14
ground,14
books,14
conjecture,14
technique,14
college,14
looks,14
computer,14
express,14
summarize,14
determined,14
coefficients,14
demonstrates,14
made,14
ti,14
a2text,14
cdotstext,14
thousands,14
he,14
rewrite,14
substituting,14
language,14
condition,14
again,14
fracdydxtext,14
relatively,14
autonomous,14
pile,14
gets,14
illustrates,14
deep,14
correspond,14
axtext,14
s1,14
salt,14
indicate,14
rod,14
balancing,14
goes,14
room,14
x3text,14
doesnt,14
piece,14
pieces,14
s0,13
comes,13
play,13
int12,13
cars,13
author,13
starting,13
remaining,13
occur,13
et2,13
consumption,13
wire,13
consistent,13
grow,13
a3text,13
alternate,13
closely,13
estimates,13
wolframalpha,13
a1text,13
acceleration,13
generally,13
nor,13
altitude,13
regions,13
s3,13
size,13
lead,13
produce,13
build,13
formal,13
rntext,13
fahrenheit,13
last,13
techniques,13
equals,13
pump,13
light,13
t2text,13
u2,13
surface,13
affects,13
pair,13
blue,13
pseries,13
t0text,13
hours,13
proportionality,13
rising,13
antidifferentiate,13
sumk1n,13
moment,13
intcx,13
g0,13
roll,13
necessary,13
letting,13
usually,13
endpoint,13
rocket,13
utility,12
extend,12
states,12
cotangent,12
sigma,12
t1text,12
my,12
grows,12
seek,12
largest,12
denoted,12
mntext,12
choosing,12
h2,12
frac14,12
x12,12
crock,12
minus,12
mtext,12
austin,12
subinterval,12
half,12
filled,12
sumi1n,12
k1,12
combine,12
dutext,12
applies,12
road,12
replace,12
relationships,12
graphical,12
window,12
looking,12
overlinex,12
greatest,12
frac1x22,12
bx,12
defines,12
s100,12
optimized,12
comparing,12
places,12
appropriately,12
w,12
grand,12
cylindrical,12
visually,12
wed,12
works,12
material,12
exerted,12
though,12
recent,12
conclude,12
identity,12
considering,12
reversing,12
pattern,12
intersection,12
lnxtext,12
allow,12
underestimate,11
fracfxgxtext,11
zoom,11
response,11
latter,11
limb,11
taxis,11
conclusion,11
type,11
infinitely,11
rope,11
applets,11
reason,11
cut,11
FALSE,11
sections,11
thickness,11
utext,11
functionderivative,11
reciprocal,11
varies,11
sentences,11
xn,11
crosssectional,11
recognize,11
rectangular,11
xi1,11
a0text,11
yi,11
differ,11
arc,11
fracak1ak,11
until,11
things,11
f3,11
accuracy,11
models,11
ends,11
extremes,11
explicitly,11
dont,11
products,11
pdf,11
once,11
3text,11
perspective,11
calories,11
ah,11
possibilities,11
worked,11
expressed,11
probability,11
geq,11
equivalent,11
green,11
enable,11
ones,11
payments,11
explains,11
x1text,11
payment,11
january,11
path,11
difficult,11
affect,11
world,11
especially,11
grams,11
p2,11
earths,11
p1x,11
satisfy,10
f2text,10
potato,10
theta,10
calculations,10
sample,10
making,10
classify,10
wish,10
f1text,10
marc,10
sinx2,10
climb,10
east,10
reasonable,10
already,10
frac1sqrtx,10
thing,10
bungee,10
focus,10
renault,10
explicit,10
corresponds,10
passes,10
righttext,10
—,10
patterns,10
 ,10
trough,10
conical,10
antidifferentiating,10
wait,10
glp1,10
remove,10
enters,10
company,10
otherwise,10
8text,10
origin,10
approaching,10
foperatornameavg,10
description,10
full,10
frac11x,10
open,10
adjust,10
followed,10
enough,10
intersect,10
law,10
textmilestext,10
g2text,10
sin,10
mice,10
g1,10
int02,10
midpoints,10
quickly,10
produces,10
int03,10
valid,10
sumk0n,10
faxa,10
varying,10
velocities,10
days,10
qt,10
xex2,10
impossible,10
circular,10
feedback,10
ga,10
range,10
frac16,10
frac13x3,10
available,10
computations,9
encounter,9
smallest,9
suggest,9
essentially,9
sqrt3,9
connection,9
fracdhdt,9
cosecant,9
carrying,9
connections,9
essential,9
signal,9
symbol,9
enclosed,9
rx2,9
continuously,9
correct,9
eventually,9
multiples,9
sqrtx,9
qn,9
depending,9
never,9
g3,9
n1,9
naturally,9
respectively,9
agree,9
sump,9
program,9
int25,9
moreover,9
task,9
facts,9
  ,9
against,9
sqrtxtext,9
int1x,9
replaced,9
walking,9
pttext,9
