Word,Frequency
the,6774
of,4023
and,2526
a,2392
in,1881
is,1855
to,1845
function,1568
functions,1511
that,1511
we,1317
for,914
as,742
on,674
text,607
with,516
at,487
what,475
this,453
an,441
can,436
are,431
by,423
x,416
t,409
y,397
graph,378
from,360
how,356
if,343
value,312
circle,308
be,308
it,301
change,289
rate,284
f,280
exponential,276
or,275
point,271
its,266
beginequation,261
endequation,261
has,251
average,247
values,241
one,238
you,236
determine,233
which,232
rational,231
right,229
any,226
each,220
b,218
polynomial,217
have,217
given,216
where,213
figure,208
two,205
modeling,204
unit,203
number,201
h,195
time,195
inverse,188
why,185
angle,184
points,175
use,174
temperature,170
displaystyle,169
sine,167
ft,165
cosine,165
such,165
when,158
form,157
gt,155
p,155
domain,155
all,154
changing,154
not,154
other,150
know,149
your,149
find,145
trigonometric,144
activity,143
vertical,142
then,141
real,141
consider,141
following,138
always,137
tank,137
g,136
interval,136
do,134
triangle,133
lt,133
r,133
c,132
write,132
behavior,130
different,130
let,130
fx,130
k,129
formula,128
see,128
horizontal,128
quadratic,127
so,127
explain,126
does,126
table,125
about,125
line,124
same,123
these,121
will,121
us,120
logarithm,120
length,119
height,119
exact,118
our,117
linear,116
circular,116
tangent,116
read,115
features,111
without,111
range,111
feet,111
there,110
calculus,109
subsection,109
also,108
angles,107
model,107
because,107
definition,106
equation,106
ttext,106
logarithmic,105
since,105
special,105
properties,104
plot,104
water,103
per,103
input,103
both,103
numbers,102
thus,102
infty,101
power,101
work,100
important,99
ftext,99
say,98
colophon,98
using,97
population,97
data,96
matter,95
natural,95
key,95
possible,94
atext,93
constant,93
triangles,93
units,92
htext,91
defined,91
positive,91
addition,90
quantities,90
graphs,89
v,87
output,86
increasing,85
e,85
traversing,83
along,82
transformations,82
axes,82
whose,82
cost,81
volume,80
between,80
bound,78
px,78
but,77
corresponding,76
way,76
zeros,76
instance,74
first,74
their,74
left,74
more,74
pi,73
exercises,72
growth,72
degree,72
follows,72
example,71
increases,70
desmos,69
preview,69
rx,69
every,69
only,69
students,69
terms,68
ctext,68
through,68
questions,68
set,68
polynomials,67
btext,67
x2,66
tandem,66
make,66
think,66
measure,66
composite,65
information,64
observe,64
some,64
circles,64
decreasing,64
pt,64
q,63
radius,63
le,63
zero,63
similar,63
note,63
relationships,62
identities,62
cdot,62
sentence,62
ytext,62
distance,61
qx,61
back,60
finding,60
while,59
exactly,59
approx,59
gtext,59
applications,59
section,58
decay,58
limx,58
being,58
s,58
suppose,57
sign,56
xtext,56
paragraph,56
inverses,56
limits,56
than,55
active,55
several,55
main,53
trigonometry,53
combining,53
infinity,53
rtext,53
lies,53
base,53
leg,52
context,52
instructors,52
like,52
now,52
m,52
minute,51
denominator,51
sint,51
period,51
n,51
sinusoidal,51
provided,51
sides,50
0text,50
they,50
sketch,50
solve,50
process,50
fracpi2,50
front,50
index,50
corresponds,49
prelude,49
ptext,49
acknowledgements,49
pretext,49
get,49
goals,49
asymptote,48
relating,48
least,48
seen,48
additional,48
d,48
