Word,Frequency
the,36014
of,18684
and,17372
to,11608
a,8410
for,8332
in,8103
is,4511
are,3690
further,3575
thinking,3535
questionscritical,3468
termssummaryreview,3468
questionssuggestions,3468
or,3037
that,3017
by,2952
public,2920
government,2891
as,2739
on,2661
this,2599
state,2538
what,2140
not,2134
american,2076
openstax,2052
chapter,1941
political,1901
be,1900
their,1790
states,1749
civil,1705
with,1694
interest,1661
they,1580
it,1536
foreign,1504
policy,1496
which,1486
court,1464
book,1449
from,1436
rights,1425
have,1413
an,1371
you,1370
groups,1334
at,1300
attribution,1226
more,1211
was,1182
federal,1152
us,1146
supreme,1142
constitution,1114
how,1078
license,1040
united,1024
who,1023
evolution,1006
other,1004
all,979
presidential,976
we,944
may,927
if,906
university,904
information,875
must,867
president,864
were,851
one,825
commons,823
creative,818
free,818
congress,803
action,796
such,796
has,792
its,788
party,785
power,781
part,780
people,764
new,750
access,721
these,707
do,705
collective,705
but,704
also,700
can,689
house,680
national,677
group,660
under,653
election,652
does,643
voter,643
figure,639
had,633
will,631
many,630
when,620
legislative,620
rice,615
httpsopenstaxorgbooksamericangovernment2epages1introduction,613
congressional,612
citation,612
some,610
than,604
college,576
most,572
then,569
would,567
following,563
parties,560
senate,552
direct,532
about,532
local,523
design,514
v,511
use,509
vote,508
include,505
every,502
citizens,500
his,499
politics,484
lead,484
bill,481
institutional,478
americans,477
been,475
name,475
them,475
voting,472
opinion,471
while,470
first,463
e,462
did,457
members,454
law,448
over,444
content,442
print,439
voters,435
time,432
system,431
site,430
act,425
page,422
digital,420
only,414
learning,414
without,413
format,413
licensed,412
section,410
individual,409
url,409
policykey,408
redistributing,408
cnx,408
democracykey,408
logo,408
groupskey,408
â©,408
right,407
because,406
african,405
however,403
media,403
no,400
tax,398
where,395
two,390
constitutional,384
federalism,384
those,382
laws,380
votes,374
protection,373
term,373
equal,372
amendment,370
number,369
electoral,360
percent,354
candidates,353
between,352
judicial,352
shall,351
help,351
our,350
bureaucracy,346
today,340
each,337
often,334
both,332
war,327
students,325
campaigns,323
office,323
courts,322
example,322
native,317
he,317
like,313
during,313
modern,312
