Word,Frequency
the,5020
and,3760
of,3139
to,2192
a,1927
is,1342
in,1223
are,959
openstax,911
business,877
this,869
chapter,840
law,795
for,783
or,780
that,746
not,652
book,640
as,552
on,534
by,532
trade,529
license,499
international,492
you,470
be,454
under,381
securities,380
sales,380
attribution,379
i,369
legal,367
must,364
federal,363
an,363
creative,362
commons,362
contract,355
with,345
antitrust,343
from,338
if,337
which,337
information,310
all,296
part,293
university,282
access,280
it,278
at,276
rice,271
citation,271
httpsopenstaxorgbooksbusinesslawiessentialspages1introduction,271
criminal,266
labor,265
states,261
social,254
include,251
laws,249
employment,239
following,234
unfair,233
act,225
american,223
then,222
sources,220
commerce,210
free,203
one,201
may,200
was,197
united,197
we,194
every,192
essentials,185
licensed,184
name,183
page,183
can,183
format,182
digital,181
site,181
print,181
logo,180
redistributing,180
liabilityassessment,180
â©,180
url,180
attributionnoncommercialsharealike,180
cnx,180
civil,178
practices,173
have,170
such,170
more,169
product,165
their,163
government,163
liability,161
administrative,161
when,155
nature,154
us,151
has,149
torts,148
common,148
does,148
they,146
protection,143
title,142
origins,141
dispute,141
state,140
important,139
intentional,139
agreement,137
use,137
breach,136
ethics,135
introduction,134
types,131
practice,131
constitutional,129
who,126
section,125
warranties,125
without,124
where,123
equal,121
capacity,121
other,120
except,119
opportunity,118
consideration,118
worker,117
help,115
strict,115
disputes,114
immigration,113
vs,112
subject,111
tort,111
framework,111
history,110
using,109
express,107
will,107
these,106
promissory,106
our,106
regulatory,105
learning,103
policy,102
there,102
give,102
reach,102
retrieved,101
basic,101
consent,100
otherwise,100
share,100
prior,99
party,99
today,99
physical,99
companies,98
mission,98
covers,98
everyone,97
board,97
date,96
textbook,96
produced,96
content,96
written,96
texas,96
registered,95
college,95
company,94
parties,94
owned,94
tool,94
andor,94
improve,94
view,94
students,94
educational,94
want,94
affiliated,93
location,93
noted,93
negligence62,93
recommend,92
houston,92
clause42,92
below,92
modify,92
negotiation22,92
reasoning,92
what,92
apâ®,91
crimes52,91
law112,91
renee,91
textbooks,91
de,91
contracts82,91
publication,91
associate,91
nonprofit,91
practices122,91
ethics32,91
valbrune,91
principles12,91
authors,91
estoppel72,91
law102,91
amazon,91
cite,91
law13,91
law132,91
act142,91
law92,91
law93,91
mirande,91
mediation23,91
legality73,91
regulationintroduction141,90
2chapter,90
contentgo,90
contentspreface1,90
contentstable,90
questionsendnotes8,90
systemintroduction61,90
advanced,90
contractsintroduction81,90
contractsassessment,90
constitutionintroduction41,90
copyas,90
1chapter,90
regulationsassessment,90
attribute,90
questionsendnotes9,90
case,90
questionsendnotes6,90
statementterms,90
0chapter,90
commissionassessment,90
commissionintroduction121,90
3chapter,90
regulationintroduction101,90
regulationassessment,90
responsibilityassessment,90
questionsendnotesanswer,90
settlementintroduction21,90
systemintroduction11,90
centerfaqopenstaxpressnewslettercareerspoliciesaccessibility,90
sep,90
remediesassessment,90
reproduced,90
questionsendnotes7,90
responsibilityintroduction31,90
questionsendnotes5,90
ussupport,90
pagebusiness,90
openstaxskip,90
arbitrationassessment,90
generate,90
he,90
helpcontact,90
highlightsprinttable,90
accessibility,90
liabilityintroduction51,90
lawsassessment,90
lawintroduction91,90
lawintroduction71,90
lawintroduction131,90
lawintroduction111,90
lawassessment,90
jan,90
keychapter,90
01c3,90
placementâ®,90
uselicensingprivacy,90
assis,90
questionsendnotes4,90
questionsendnotes3,90
questionsendnotes2,90
questionsendnotes14,90
questionsendnotes13,90
questionsendnotes12,90
earn,90
questionsendnotes11,90
agenciesassessment,90
questionsendnotes10,90
employmentassessment,90
endorse,90
qualifying,90
purchasescitationattribution,90
publisherwebsite,90
trademarks,90
protectionsassessment,90
would,89
its,89
employees,89
goods,87
also,86
example,85
some,85
contracts,81
previousnextorder,80
court,80
arbitration,78
any,77
but,71
while,70
nd,68
responsibility,67
figure,65
4index,64
however,64
clause,63
corporate,63
credit,62
agencies,61
been,61
courts,60
commission,60
his,60
were,59
certain,59
how,59
considered,58
negotiation,58
power,57
only,57
cases,57
public,57
						,57
do,56
about,56
harm,56
impact,56
businesses,55
both,55
rights,55
created,55
through,55
over,55
most,54
union,53
