Word,Frequency
the,10785
of,6110
and,4466
to,4027
a,3944
is,3252
we,2563
â,2368
that,1828
in,1784
lines,1771
derivatives,1717
functions,1636
draw,1574
x,1350
for,1249
this,1209
limits,1184
trigonometry,1172
beginalign,1165
endalign,1165
at,1158
limit,1077
fx,1073
method,1055
function,981
exercises,942
â³,886
more,859
be,846
arithmetic,832
inverse,822
derivative,809
optional,806
so,805
answer,785
text,779
solution,772
nodeabovey,764
lt,751
are,749
it,729
as,681
with,671
by,661
have,645
you,642
hint,626
trigonometric,623
triangles,612
rule,583
then,576
dee1,573
hline,573
can,567
about,550
using,540
if,530
error,511
example,509
velocity,501
little,492
gt,483
c,477
on,469
not,464
secant,448
newtons,443
differentiation,437
l,430
one,429
calculus,423
sets,422
tangent,418
exponential,414
formal,412
formulas,411
theorem,411
trig,411
graphs,410
behaviour,406
when,402
laws,402
making,401
â,398
first,398
value,393
cdot,383
noderightxdrawhelp,382
contentsprevupnext,382
b,378
definition,376
right,376
left,364
from,356
an,353
numbers,352
or,350
let,341
limxto,339
which,330
point,328
f,324
should,324
line,322
now,315
find,311
what,308
other,307
all,304
but,293
rightarrow,289
will,288
area,283
time,282
limx,281
leq,275
examples,272
there,271
volume,265
chain,263
frac12,261
simple,261
some,260
since,260
taylor,258
similar,258
another,257
has,256
position,254
infty,249
use,249
important,248
endgather,244
gx,244
begingather,244
lhã´pitals,243
mean,243
natural,242
e,242
radians,241
order,241
polynomials,237
computing,234
logarithm,233
indeterminate,233
finding,232
able,232
above,230
angles,229
root,227
FALSE,227
differential,226
sum,226
infinity,225
sine,225
continuity,222
cosine,222
where,221
logarithms,220
d,220
related,220
infinite,219
acceleration,218
our,218
identities,218
st,217
antiderivatives,217
special,217
equal,217
us,217
solutions,216
add,216
implicit,216
definitions,216
towards,215
two,212
growth,211
h,211
know,210
do,210
applications,210
sketching,210
drawing,210
pythagoras,210
material,209
number,209
mbox,208
matter,207
proofs,207
rates,207
derive,207
theorems,207
forms,206
just,206
areas,206
subtract,205
main,205
powers,205
decay,205
xtext,204
high,204
tangents,203
calculating,202
higher,202
answers,202
toolbox,202
origin,201
need,201
introduction,201
y,200
book,200
revisiting,200
informal,200
proving,200
does,200
tool,199
volumes,198
interpretations,198
preface,198
fctext,198
circles,197
school,197
cfx,197
optimisation,197
spheres,197
integral,197
front,196
joel,195
cones,195
andrew,195
elyse,195
colophon,195
parsing,195
acknowledgements,195
dedication,195
feedback,195
clp1,195
section,195
yeager,194
rechnitzer,194
basics,194
hints,194
sectors,194
feldman,194
arcs,194
regula,194
falsi,194
subsection,194
endarray,194
u5,193
appendices,192
pretext,192
skip,192
nodeleft2,191
noderight1,191
noderight2,191
nodebelow2,191
nodeabove2,191
newcommandyeycoord2draw,191
newcommandyetaaxis4drawhelp,191
newcommandyexcoord2draw,191
newcommandyetaxis4drawhelp,191
colorreddeeu3,191
noderight3,191
newcommandyenycoord2draw,191
genfrac0in12,191
exercisesfeedbackauthored,191
fracmathrmd1mathrmd2,191
leftrightarrow,191
login,191
colorbluedeeu6,191
colorbluetextoption,191
colorbluev4,191
notrightarrow,191
noderightt,191
notleftrightarrow,191
colorredtextoption,191
mathcalpleft1right,191
colorredv7,191
varnothing,191
endtikzpicture,191
noderotate304,191
noderighttdrawhelp,191
