Word,Frequency
the,8488
of,3896
and,2897
is,2455
in,2197
to,2032
a,1837
that,1551
we,1153
â³,903
for,818
by,728
at,724
beginequation,722
endequation,722
on,692
are,675
text,639
as,598
lines,597
so,580
x,571
point,568
y,540
with,527
integrals,524
find,506
this,501
beginalign,491
endalign,491
if,470
example,463
be,445
from,441
solution,434
coordinates,428
exercises,400
it,399
d,393
vector,390
derivatives,389
llt,379
answer,374
equation,369
two,365
then,351
surface,344
points,315
have,312
all,311
which,304
partial,302
function,300
vectors,297
line,286
one,284
has,284
first,277
equations,269
z,267
t,260
plane,256
or,245
f,244
an,243
integral,240
you,240
constant,238
fxy,233
tangent,233
figure,222
can,219
direction,216
let,209
surfaces,209
xy,209
right,208
not,208
area,205
curve,204
b,201
double,196
each,195
â,192
value,191
three,190
nodeabovey,188
below,185
sketch,183
triple,183
le,182
displaystyle,182
lt,178
planes,178
maximum,177
y2,176
between,175
its,171
de,170
here,170
distance,168
use,167
above,164
using,163
values,163
theta,162
over,162
into,162
some,161
table,161
big,160
x2,160
now,160
just,160
minimum,159
when,159
given,153
normal,152
volume,151
gt,151
left,150
coordinate,150
well,150
any,147
part,146
see,145
our,145
polar,144
both,143
draw,142
c,142
evaluate,142
theorem,141
there,140
mass,137
where,133
section,133
region,132
order,131
r,131
what,130
time,129
p,129
endgather,127
begingather,127
but,125
will,125
also,123
only,123
definition,122
vnabla,121
critical,120
circle,119
about,117
curves,117
perpendicular,116
rule,116
up,115
dimensions,114
spherical,113
s,112
xtext,111
quadric,110
gives,110
cylindrical,108
angle,108
second,107
ytext,106
error,105
xyplane,105
zero,103
cr,102
xyz,101
functions,100
number,99
integration,98
buildrel,98
gradient,98
more,98
appendices,98
deexdeey,97
hint,97
linear,97
limits,96
newcommandvnmathbfn,94
newcommandvdmathbfd,94
contentsprevupnext,94
newcommandvamathbfa,94
newcommandvgmathbfg,94
newcommandvbmathbfb,94
newcommandvvmathbfv,94
noderightxdrawhelp,94
newcommandvemathbfe,94
newcommandomomega,94
newcommandvthpmbtheta,94
newcommandhnhatmathbfn,94
newcommandvtmathbft,94
newcommanddedelta,94
newcommandvxmathbfx,94
newcommandvcmathbfc,94
newcommandvrmathbfr,94
chain,93
same,92
product,91
l,90
local,90
consider,90
does,89
optional,89
change,88
set,88
times,88
lagrange,86
like,86
compute,86
radius,86
through,85
terms,85
length,84
whose,84
solid,83
other,83
system,83
such,83
multipliers,83
e1,83
fx,83
parallel,83
frac12,82
side,82
variable,82
ttext,82
sphere,81
defined,81
approximate,81
octant,80
directional,79
hand,79
note,79
i,79
limit,79
than,79
va,78
sum,78
namely,78
rate,78
their,77
get,76
origin,76
suppose,75
these,75
fracpartial2,74
essentially,74
intersection,74
general,74
called,74
fixed,74
derivative,74
deex,73
calculus,73
following,73
solutions,73
again,73
xle,73
lets,72
unit,72
way,72
was,71
do,70
notation,70
xaxis,69
must,69
runs,68
since,68
rectangle,67
sketching,67
solving,67
approximation,66
taylor,66
approximations,66
level,66
applications,66
stage,66
ie,65
formula,65
case,65
need,65
multivariable,65
temperature,64
fracpartial,64
subsection,64
along,64
exactly,63
determine,63
vrt,62
write,62
because,62
wave,62
m,62
atext,62
inside,61
dblintcr,61
rm,61
used,61
multiple,60
particle,60
geometry,60
give,60
endalignat,60
higher,60
out,60
rgt,60
yle,60
horizontal,59
they,59
v,59
sections,59
iso,59
start,58
dot,58
implies,58
form,58
density,58
us,58
st,57
show,57
deey,57
fxyz,57
limhrightarrow,56
answers,56
vb,56
fpartial,56
trigonometry,55
cylinders,55
