Word,Frequency
the,17854
of,9989
a,6300
and,5395
is,4739
to,3997
we,2932
in,2679
for,2395
function,2236
at,2046
that,1835
this,1644
by,1570
as,1413
are,1259
if,1200
find,1112
functions,1051
an,1032
on,1009
following,929
openstax,871
use,845
then,844
graph,839
with,836
be,819
or,782
not,761
ff,744
from,732
figure,725
over,708
can,699
limit,687
derivative,680
exponential,678
derivatives,639
volume,630
it,630
you,629
book,619
example,610
interval,589
value,586
point,586
area,573
using,563
all,563
which,554
line,553
have,547
chapter,533
xx,532
reviewkey,516
equationskey,516
conceptsreview,516
termskey,516
given,509
inverse,497
theorem,492
when,479
t,471
where,459
equation,451
has,450
license,432
trigonometric,432
table,432
integrals,427
fxfx,423
values,411
calculus,401
must,396
between,389
logarithmic,383
exercises,382
solution,374
since,368
rule,360
change,352
commons,350
each,348
attribution,345
creative,345
functionschapter,344
evaluate,343
b,342
part,338
one,336
limits,335
rate,335
such,326
determine,325
integral,318
does,314
definition,313
let,312
continuous,304
therefore,304
x,297
number,295
these,293
how,292
university,291
information,287
region,282
domain,281
see,279
under,278
more,277
section,276
time,273
length,271
checkpoint,270
curve,263
so,262
access,262
tangent,261
first,261
two,260
rice,259
httpsopenstaxorgbookscalculusvolume1pages1introduction,259
citation,258
its,257
what,255
every,253
velocity,252
definite,251
linear,240
constant,237
review,235
may,232
our,231
applications,231
surface,230
revolution,229
points,227
physical,224
formulas,222
integration,221
local,219
absolute,218
us,217
consider,213
method,209
chain,209
any,207
maximum,205
form,205
average,203
volumes,202
both,202
there,197
mass,196
x0x0,194
include,192
c,190
shown,190
need,188
growth,188
differentiation,185
cc,184
below,184
free,184
around,180
hyperbolic,179
mean,178
name,178
site,177
page,177
other,176
format,176
licensed,175
also,174
digital,174
slope,174
right,174
print,174
attributionnoncommercialsharealike,173
now,173
defined,173
cnx,172
logo,172
â©,172
redistributing,172
url,172
formula,171
after,170
infinity,168
abab,167
increasing,166
arc,166
involving,166
height,165
minimum,165
real,165
sum,165
basic,164
net,164
d,161
left,160
want,159
population,159
estimate,159
per,158
finding,155
newtonâs,154
than,152
thus,152
lâhã´pitalâs,152
calculate,151
fundamental,151
areas,150
only,150
about,149
apply,148
