Word,Frequency
the,49192
of,25276
and,18644
a,16474
to,13866
solve,11268
is,11013
in,8930
equations,6041
it,5782
for,5755
with,5710
we,5624
by,5580
simplify,5113
use,5022
are,4993
this,4755
equation,4247
â,4145
square,4092
you,4000
â,3895
try,3567
find,3528
rational,3391
number,3382
on,3357
quadratic,3287
step,3212
linear,3142
factor,3110
solution,3091
exercisespractice,3060
openstax,3051
conceptsexercisesreview,3040
termskey,3040
reviewkey,3040
chapter,2937
using,2905
if,2847
add,2834
multiply,2825
example,2799
an,2721
systems,2712
that,2699
subtract,2613
or,2583
two,2477
following,2398
be,2327
will,2266
how,2260
as,2244
divide,2243
each,2201
book,2171
line,2168
not,2073
applications,2072
exercises,2035
at,2026
form,1998
graph,1911
one,1851
attribution,1830
expressions,1771
what,1758
then,1718
numbers,1621
when,1606
properties,1594
write,1547
all,1523
license,1522
common,1519
than,1495
â,1471
from,1443
algebra,1439
slope,1346
real,1257
must,1249
both,1231
have,1222
creative,1217
commons,1217
system,1216
inequalitieschapter,1216
information,1198
more,1188
can,1187
point,1147
property,1142
section,1115
many,1101
formula,1088
check,1034
product,1025
fractions,1022
part,1013
problem,1012
which,1007
name,995
access,978
so,970
into,965
first,953
translate,948
expression,929
same,929
feet,929
university,923
terms,918
rice,915
httpsopenstaxorgbookselementaryalgebra2epages1introduction,914
citation,912
multiplication,910
denominator,904
has,901
graphing,894
figure,893
was,893
factors,892
solving,881
strategy,871
root,868
side,845
her,837
value,836
she,832
he,829
variable,825
make,823
general,812
does,806
roots,790
your,784
length,778
trinomials,777
miles,775
every,771
variables,764
his,761
exponents,740
no,727
mixture,723
inequality,717
like,711
special,710
three,709
decimal,704
percent,703
where,702
fraction,699
uniform,698
motion,698
do,692
per,691
get,681
sum,679
answer,675
x,668
whole,664
under,664
speed,662
include,656
right,655
there,653
hours,651
us,642
take,641
elementary,640
solutions,634
division,628
e,625
negative,622
identify,621
format,619
licensed,614
page,614
sides,613
print,611
free,611
digital,611
url,608
redistributing,608
â©,608
cnx,608
site,608
logo,608
looking,607
may,605
table,598
completing,593
integers,592
would,585
given,581
any,563
work,555
binomial,555
â,551
addition,548
times,544
left,542
help,542
width,537
integer,537
total,536
math,534
other,528
cost,526
our,520
subtraction,519
rectangular,513
term,511
points,508
below,501
quotient,499
y,496
rate,494
factoring,493
method,492
determine,490
less,487
numerator,486
rewrite,484
perfect,483
xx,480
convert,479
inverse,478
zero,475
tickets,471
greatest,466
review,465
lines,463
need,460
substitute,460
want,458
its,457
difference,456
complex,451
similar,450
scientific,448
equal,446
values,444
they,440
coordinate,437
since,433
constants,433
amount,430
written,426
evaluate,416
see,416
earn,412
last,409
prepared,408
let,404
but,404
reach,404
interest,402
pythagorean,400
college,400
now,398
specific,398
yy,394
higher,393
without,393
graphs,393
b,391
price,390
pounds,389
second,389
height,387
introduction,383
proportion,381
read,381
yintercept,381
give,380
trinomial,378
mph,376
next,376
used,374
triangle,374
improve,373
pair,373
place,371
notation,371
slopeintercept,370
geometry,369
much,368
students,368
positive,367
missed,366
triangles,365
visualize,364
modeled,363
radical,363
direct,362
lcd,362
distance,361
after,359
sentence,359
polynomial,358
original,357
problemsolving,357
power,356
their,355
express,354
makes,353
language,352
hour,352
did,349
them,348
round,347
order,346
time,345
rectangles,342
such,340
between,339
were,338
understand,337
exponent,331
share,328
except,328
should,327
unlike,326
board,324
up,324
answers,324
area,322
learning,320
look,318
covers,318
textbooks,316
shown,315
these,314
policy,314
ordered,313
textbook,312
lynn,312
location,312
tool,311
produced,311
maryanne,309
content,309
jan,309
texas,309
physical,308
equality22,308
called,308
modify,308
decimals18,307
international,307
fractions17,307
roots93,307
line47,307
prior,307
subject,307
view,307
nearest,307
authors,307
mission,306
marecek,306
andrea,306
anthonysmith,306
otherwise,306
monomials66,306
numbers110,306
numbers12,306
line45,306
ax2bxc74,306
line46,306
applications89,306
applications33,306
applications88,306
applications34,306
applications36,306
noted,306
numbers19,306
system42,306
roots97,306
grouping72,306
sides24,306
graphing52,306
x2bxc73,306
square103,306
strategy32,306
substitution53,306
intercepts44,306
fractions16,306
formula104,306
equality23,306
theorem35,306
today,306
equations105,306
equations25,306
expressions86,306
expressions83,306
expressions82,306
equations55,306
equations56,306
denominators85,306
denominator84,306
exponents63,306
equations87,306
variable27,306
variables43,306
everyone,306
wants,306
decimals26,306
roots98,306
algebra13,306
roots96,306
roots94,306
roots92,306
polynomials62,306
polynomials64,306
integers15,306
integers14,306
polynomials67,306
polynomials76,306
elimination54,306
products65,306
products75,306
property102,306
roots95,306
honeycutt,305
mathis,305
title,305
nonprofit,305
educational,305
radicalsintroduction91,304
advanced,304
registered,304
polynomialsintroduction61,304
statementterms,304
accessibility,304
reproduced,304
date,304
uselicensingprivacy,304
ussupport,304
contentspreface1,304
contentstable,304
affiliated,304
owned,304
multiplying,304
variableschapter,304
variationchapter,304
pageelementary,304
notationchapter,304
openstaxskip,304
test4,304
purchasescitationattribution,304
test5,304
test6,304
test7,304
test8,304
test9,304
modelsintroduction31,304
qualifying,304
testanswer,304
test3,304
measurementchapter,304
contentgo,304
test2,304
publisherwebsite,304
copyas,304
trademarks,304
publication,304
test10,304
recommend,304
placementâ®,304
cite,304
attribute,304
highlightsprinttable,304
foundationsintroduction11,304
equationschapter,304
generate,304
helpcontact,304
inequalitiesintroduction21,304
andor,304
equationsintroduction81,304
keychapter,304
factoringintroduction71,304
endorse,304
01c3,304
houston,304
equationsintroduction51,304
associate,304
exponentschapter,304
apâ®,304
apr,304
amazon,304
equationsintroduction101,304
consent,304
graphsintroduction41,304
centerfaqopenstaxpressnewslettercareerspoliciesaccessibility,304
practice,302
consecutive,301
some,300
inequalities,294
least,293
pattern,292
notice,292
calories,291
before,290
sure,289
weâll,286
c,282
previousnextorder,282
represent,281
sign,279
twice,276
inches,274
complete,271
long,268
choose,268
squares,268
angles,266
remember,264
car,263
checklist,262
know,261
question,260
means,259
yes,257
angle,255
words,252
equivalent,251
out,249
whose,249
vary,248
opposite,247
parallel,247
end,246
four,245
polynomials,245
intercepts,244
degrees,244
problems,244
gcf,244
letâs,242
aa,242
writing,240
dimes,240
rectangle,235
completely,235
only,233
different,233
why,232
run,231
decimals,230
measure,227
just,226
maximum,226
sold,223
show,221
together,220
explain,220
whether,219
way,217
minutes,215
about,215
parabola,213
steps,211
prime,210
combine,209
mastery,209
constant,208
had,207
tenth,206
radicals,202
denominators,202
slopeâintercept,202
vertical,202
year,201
gives,201
result,200
model,198
measures,198
able,198
word,197
true,197
seconds,196
perimeter,195
boundary,193
nickels,192
varies,191
start,191
m,190
algebraic,189
rise,188
bought,187
most,187
coefficient,186
equality,185
five,185
signs,184
perpendicular,183
units,183
temperature,182
could,182
quarters,180
plus,180
binomials,180
paid,180
adult,180
put,180
ounces,179
n,178
distribute,175
even,175
takes,175
horizontal,174
â1â1,173
change,173
examples,171
buy,171
because,170
objectives,170
â,170
also,169
account,169
axis,168
xyxy,167
everyday,167
sense,167
new,166
odd,165
third,165
weight,159
nn,159
substitution,159
interval,157
started,156
pound,156
water,155
pay,154
money,154
standard,153
mm,153
hundred,153
years,151
simplified,149
coin,147
another,147
reciprocal,146
meters,146
solved,146
possible,145
small,145
leave,145
situation,145
operations,144
appropriate,144
relates,144
parentheses,144
numerators,144
draw,142
0indexlearning,142
objectivesby,142
self,142
digit,141
monomial,141
ch,140
here,140
through,139
x2x2,138
list,138
elimination,138
down,138
base,138
needs,137
liters,137
identity,136
places,136
english,135
remove,135
sale,135
week,135
slopes,135
greater,134
contains,134
grouping,133
discount,133
adding,133
foil,132
radicand,132
type,132
undefined,131
test,130
found,129
foot,129
plot,129
good,129
â2â2,129
tall,128
coefficients,128
pairs,127
dollars,127
needed,126
house,126
principal,126
ten,125
recognize,125
cubes,125
gallons,124
multiple,124
trip,124
directly,124
coins,123
quiz,122
readiness,122
day,121
ekey,120
conjugates,120
still,119
say,118
variation,118
going,117
distributive,117
always,117
intercept,117
x3x3,116
stamps,116
vertex,115
monomials,115
fahrenheit,115
p,114
think,114
quantity,113
isolate,113
dividing,112
symmetry,112
eight,111
counters,111
containing,111
degree,109
locate,109
l,108
salary,108
x0x0,108
him,108
â3â3,106
mix,106
celsius,105
go,105
earned,104
shows,104
back,103
took,103
key,103
average,103
nine,103
while,102
factored,102
very,102
six,101
job,101
costs,101
over,101
home,101
drove,100
easier,100
yards,100
yintercepts,100
bb,99
increase,99
digits,99
important,98
phrase,98
above,98
definition,97
centimeters,97
count,96
larger,96
abab,96
pays,95
pennies,95
faster,95
people,95
earns,95
opposites,94
nuts,94
ticket,94
drive,94
thousand,94
cannot,94
multiples,93
irrational,93
either,93
move,93
mixed,92
away,92
â4â4,92
student,92
sales,92
gas,91
boat,91
month,91
again,90
lengths,90
divided,90
â,90
negatives,89
middle,88
theorem,88
inversely,87
ratio,87
far,87
current,87
coordinates,87
set,86
children,86
jet,86
sometimes,86
garden,86
invested,85
bill,85
t,85
organize,85
manipulative,85
region,84
yaxis,84
â5â5,84
grams,83
y0y0,83
divisible,83
weighs,82
