Word,Frequency
the,9399
of,4883
and,3259
a,2698
to,2340
is,2013
in,1964
for,1864
displaystyle,1734
we,1657
amp,1371
equations,1241
equation,1092
hphantom0000,1074
by,873
an,783
that,734
on,719
beginequation,687
endequation,687
review,678
each,673
chapter,669
answer,665
summary,644
are,643
subsection,624
with,605
x,604
two,596
graph,590
if,585
how,571
exercises,564
quadratic,561
problems,549
what,545
write,543
find,538
or,531
cdot,516
linear,513
questions,501
exponents,500
can,495
fractions,495
algebraic,491
solution,490
number,484
terms,470
solve,455
roots,447
as,444
use,440
you,430
reading,428
example,427
expression,413
line,393
from,389
this,371
formula,361
slope,361
square,350
operations,347
solving,332
expressions,325
your,325
at,324
one,322
both,320
it,319
beginalign,314
endalign,314
assemblage,313
about,301
numbers,296
product,294
first,294
not,292
negative,287
like,286
variables,284
radicals,283
products,280
simplify,278
be,276
factor,275
variable,274
graphs,270
polynomials,259
subsubsection,257
point,249
denominator,248
then,246
homework,246
has,241
problem,240
same,240
y,240
when,237
using,237
more,236
systems,235
its,234
form,234
law,232
factors,228
multiply,227
factoring,225
which,222
sides,221
fraction,219
order,217
table,215
values,213
will,210
term,209
do,208
answers,199
does,196
per,195
system,194
activity,186
many,186
add,182
have,178
points,177
so,176
miles,174
than,171
common,166
properties,163
solutions,163
times,159
algebra,155
ratio,155
section,154
lines,152
hphantom00,150
area,148
skills,147
distributive,143
into,142
explain,142
below,141
colophon,141
see,140
elementary,140
sum,140
b,139
must,138
compute,138
second,136
following,135
right,133
value,132
much,131
cube,131
all,130
some,130
feet,129
given,129
t,128
slopeintercept,128
intercepts,127
lesson,127
called,126
cost,126
make,126
she,125
evaluate,125
because,124
was,124
any,123
rate,123
subtract,123
he,123
graphing,122
notation,122
left,122
parentheses,121
text,119
her,119
why,118
method,117
did,117
scientific,117
side,116
their,115
root,115
positive,115
p,114
interest,114
div,114
power,114
binomials,114
three,113
look,113
choose,112
also,111
polynomial,110
zero,110
they,109
after,108
pointslope,107
rectangle,107
laws,106
amount,106
warmup,106
distance,103
formulas,103
hour,103
hours,103
proportion,103
total,102
shown,102
get,102
signed,102
x2,101
exponent,101
between,101
xtext,101
m,99
equal,97
numerator,97
should,97
but,95
length,94
divide,93
these,92
units,92
his,92
special,91
calculator,91
step,91
delta,91
lowest,90
there,90
part,90
vertical,89
us,89
applications,88
now,87
decimal,86
sign,86
inequalities,86
preview,85
equivalent,85
difference,84
fill,84
thus,84
temperature,84
dollars,83
extracting,82
matter,82
lcd,82
long,80
other,80
front,79
quotient,79
together,78
price,78
through,78
time,77
models,77
width,76
new,76
revenue,76
powers,75
represent,75
average,75
complete,75
where,75
before,74
give,74
correct,74
speed,73
h,73
caution,73
appendix,72
check,72
preface,71
whose,71
index,71
closer,71
c,70
katherine,70
true,70
cannot,69
figure,69
adding,69
yoshiwara,69
multiplication,69
pretext,68
authored,68
radical,68
selected,68
yintercept,68
d,68
change,68
contentsprevupnext,67
opposite,67
delimitershortfall1sp,67
horizontal,67
newcommandabs1left1right,67
newcommandlt,67
contentrequirecancelnewcommandalert1boldsymbolcolormagenta1,67
contents,67
main,67
prevupnext,67
only,67
newcommandgt,67
newcommandamp,67
newcommanddegree0circ,67
newcommandccancel2blackrenewcommandcancelcolorcolor1cancel2,67
newcommandbluetext1colorskyblue1,67
skip,67
newcommandblert1boldsymbolcolorblue1,67
ampamp,66
base,66
height,66
four,66
indexcalc,66
trinomial,65
them,64
question,64
substitute,64
paragraph,63
take,63
different,63
lt,63
plot,62
r,62
steps,61
out,60
would,60
above,60
let,60
less,60
s,59
coordinates,59
coefficients,59
inequality,59
unknown,59
constant,59
axis,58
parabola,58
years,58
xintercepts,57
far,57
year,57
inside,57
decide,56
pm,56
x3,56
tell,55
w,55
volume,55
move,55
apply,54
subtracting,54
addition,53
endgather,53
know,53
begingather,53
n,53
gives,53
vertex,53
profit,52
last,51
writing,51
original,51
triangle,51
box,51
no,51
squares,51
blerttextstep,50
result,50
perform,50
costs,50
rule,50
pounds,50
delbert,50
subtraction,50
inches,50
coefficient,49
state,49
perimeter,49
possible,49
verify,49
quantity,49
degree,48
whether,48
used,48
factored,48
binomial,48
every,48
pair,47
division,47
such,46
grid,46
money,46
beginalignedt,46
next,46
reduce,46
up,46
either,45
axes,45
sketch,44
blerttextdivide,44
dfracdelta,44
perpendicular,43
statement,43
wrapup,43
third,43
objectives,43
gt,42
practiced,42
account,42
centimeters,41
may,41
calculation,41
combine,41
multiplying,41
shows,41
calculate,41
without,40
answer3,40
week,40
need,40
simplifying,39
follow,39
parallel,39
consider,39
car,38
dfrac12,38
way,38
rational,38
operation,38
principle,38
just,38
rightarrow,38
symbols,37
another,37
stand,37
well,36
people,36
numerical,36
dfrac23,36
means,36
algebraically,36
standard,36
intercept,35
travel,35
francine,35
always,35
ydelta,35
proportional,35
model,34
x4,34
signs,33
our,33
divided,33
integers,33
gallons,33
appears,33
help,33
a2,33
ordered,33
ab,32
made,32
denominators,32
monomial,32
illustrate,32
numerators,32
down,32
seconds,32
passes,32
dfrac34,32
undefined,32
ytext,32
earned,32
water,31
answerthe,31
htext,31
irrational,31
twice,31
elimination,31
contains,30
larger,30
obtain,30
btext,30
label,30
ways,30
ttext,30
over,30
q,30
weight,30
try,30
evaluating,29
day,29
mean,29
earn,29
areas,29
say,29
ptext,29
extraneous,29
students,29
makes,29
answer5,29
note,29
combining,29
dependent,29
sqrt5,29
answer11,29
minutes,29
cubic,29
set,28
suppose,28
surface,28
tells,28
reciprocal,28
share,28
fact,28
x5,28
small,28
xcoordinate,28
false,28
inconsistent,28
begin,28
bill,28
answer23,28
work,28
answer15,28
dtext,27
blerttextsubtract,27
here,27
mixture,27
buy,27
building,27
completely,27
endaligned,27
percent,27
applies,27
corresponding,27
radius,27
savings,27
scales,27
particular,27
written,26
answer19,26
zerofactor,26
ground,26
whole,26
end,26
clear,26
rtext,26
largest,26
large,26
rules,26
finding,26
places,26
invested,26
draw,26
express,26
were,26
answer9,26
list,26
calories,26
case,26
isolate,25
home,25
plus,25
ycoordinate,25
pay,25
ctext,25
answer21,25
quantities,25
answer27,25
x1,25
altitude,25
examples,25
meters,25
exercise,24
answer29,24
takes,24
represents,24
dimensions,24
bought,24
exactly,24
exact,24
often,24
substitution,24
hint,24
put,24
ahead,24
recall,24
class,24
old,24
words,23
want,23
curve,23
greater,23
perfect,23
absolute,23
xintercept,23
principal,23
answer7,23
blerttextmultiply,23
five,23
wrong,23
remaining,23
compare,23
wtext,23
answer13,23
think,23
raise,23
incorrect,22
those,22
traveling,22
had,22
involving,22
been,22
start,22
connect,22
stands,22
tank,22
v,22
francines,22
sqrt2,22
however,22
approximately,22
equals,22
appropriate,22
quotients,22
finally,22
enter,21
bar,21
blerttextadd,21
under,21
show,21
estimate,21
sale,21
coordinate,21
x2text,21
xy,21
lake,21
important,21
reverse,21
trip,21
f,21
selling,21
notice,21
tax,21
multiplications,21
read,21
smooth,21
traveled,21
reach,21
smaller,21
annual,21
data,21
item,21
x3text,21
answer17,21
month,21
including,21
plan,20
diagonal,20
angle,20
2text,20
unit,20
locate,20
company,20
score,20
cancel,20
days,20
round,20
commutative,20
pyramid,20
symbol,20
tuition,20
reduced,20
slopes,20
approximation,20
cents,20
blerttextcombine,20
real,20
milliliters,20
build,20
e,20
middle,20
paid,20
pays,19
top,19
months,19
le,19
remove,19
include,19
extraction,19
2x,19
rectangles,19
acid,19
six,19
error,19
off,19
book,19
multiplied,19
half,19
trinomials,19
income,19
paper,19
involves,19
substituting,19
straight,19
–6,19
still,19
needed,19
x6,19
blerttextapply,18
unlike,18
keep,18
ge,18
found,18
computing,18
even,18
sqrt3,18
namely,18
3text,18
applied,18
quarts,18
0text,18
type,18
simplified,18
meaning,18
easier,18
ounces,18
gas,18
remember,18
squaring,18
sentence,18
age,18
minus,17
squared,17
yintercepts,17
train,17
pool,17
application,17
members,17
cans,17
enclose,17
mathematical,17
greatest,17
population,17
dividing,17
current,17
necessary,17
instead,17
school,17
increases,17
says,17
several,17
useful,17
rent,17
repeated,17
fee,17
degrees,17
pairs,17
answer31,17
direction,17
house,17
answer25,17
atext,17
fourth,17
underlinehspace4545454545454546em,17
single,17
moving,16
elevation,16
juice,16
delberts,16
map,16
answer37,16
worth,16
answer33,16
replace,16
row,16
ratios,16
property,16
charges,16
theorem,16
involve,16
intersect,16
associative,16
minute,16
indicated,16
ab2,16
divisions,16
equipment,16
textand,16
votes,16
appear,16
blerttextsimplify,16
parts,16
performed,16
z,16
subtractions,16
added,16
general,16
increase,16
additions,16
factorization,16
uses,15
occurs,15
indicate,15
satisfy,15
bags,15
answera,15
blerttextthe,15
–12,15
pi,15
measures,15
situation,15
invest,15
applying,15
drive,15
produce,15
yards,15
drove,15
subtracted,15
smallest,15
earns,15
reservoir,15
dfrac2,15
charge,15
pythagorean,15
describe,15
monomials,15
pages,15
passing,15
relationship,15
described,15
food,15
follows,15
course,15
t2,15
while,14
l,14
process,14
tables,14
b2,14
cookies,14
wants,14
yaxis,14
rectangular,14
nonzero,14
waves,14
within,14
changes,14
key,14
test,14
fifth,14
approx,14
contain,14
careful,14
fit,14
dfrac13,14
–8,14
already,14
answer35,14
usually,14
solved,14
oven,14
items,14
descending,14
showing,14
sells,14
relating,14
sell,14
identify,14
sums,14
noon,14
travels,14
arithmetic,13
roller,13
inverse,13
results,13
x2y,13
city,13
blerttextsolve,13
kilometers,13
plane,13
hand,13
very,13
u,13
containing,13
scale,13
faster,13
sense,13
undo,13
x4text,13
college,13
upstream,13
gcf,13
k,13
computers,13
–2,13
4text,13
proportions,13
subrectangles,13
degreef,13
3x,13
sometimes,13
outside,13
eliminate,13
stext,13
hits,13
million,13
most,13
tall,13
tickets,13
marbles,13
wide,13
choice,12
directed,12
sales,12
paycheck,12
blerttextfirst,12
g,12
textmeans,12
integer,12
works,12
–10,12
plans,12
weeks,12
pound,12
angles,12
unchanged,12
simpler,12
qquad,12
club,12
phrase,12
consistent,12
bag,12
underlinehspace2727272727272727em,12
blerttextchange,12
fund,12
information,12
lower,12
initial,12
m2,12
women,12
spent,12
salary,12
later,12
grams,12
dog,12
combined,12
investment,12
apart,12
weighs,12
group,12
bottom,12
xdirection,12
producing,12
usual,12
boat,12
downstream,12
dont,12
starting,12
could,12
column,12
got,12
pattern,12
taking,12
grade,12
best,12
dfrac25,12
joining,12
motion,12
sqrtab,12
hypotenuse,11
entries,11
jerry,11
fundamental,11
dfrac32,11
rick,11
1text,11
call,11
calculations,11
separately,11
illustrates,11
i,11
various,11
across,11
dfrac14,11
degreetext,11
collected,11
missing,11
–4,11
sqrt4,11
input,11
rose,11
blerttextfactor,11
answerto,11
books,11
neither,11
y3,11
evenly,11
blerttextuse,11
plotting,11
xaxis,11
divides,11
dfrac43,11
walks,11
sqrt6,11
light,11
displayed,11
blertdfracaman,11
pizza,11
context,11
answered,11
math,11
ten,11
labeled,11
indicates,11
cups,10
football,10
position,10
x5text,10
dfracx2,10
reasonable,10
blert,10
amn,10
along,10
net,10
5x,10
milk,10
keeps,10
fat,10
y0,10
radicand,10
sentences,10
san,10
earth,10
x8,10
guessandcheck,10
being,10
possibility,10
display,10
natural,10
name,10
park,10
foil,10
percents,10
simplest,10
yard,10
ticket,10
specific,10
coffee,10
a3,10
underlinehspace6818181818181818em,10
garden,10
rewrite,10
clients,10
lunch,10
respect,10
similarly,10
sqrtx,10
mtext,10
once,10
blerttexttake,10
x3y,10
x2x2,10
highest,10
person,10
monthly,10
textor,10
removing,10
cake,10
trial,10
forms,10
intervals,9
penny,9
ruth,9
dfrac35,9
size,9
chocolate,9
explanation,9
grouping,9
multiple,9
sold,9
reducing,9
approximate,9
children,9
cat,9
longer,9
blerttextwrite,9
ax2bxc,9
rain,9
cats,9
mixtures,9
expressed,9
asked,9
looking,9
red,9
blerttextsubstitute,9
around,9
output,9
brackets,9
spending,9
debt,9
roses,9
sqrt12,9
study,9
high,9
string,9
–3,9
answer39,9
–5,9
answerbecause,9
answer45,9
loan,9
itself,9
might,9
rationalize,9
dfrac92,9
region,9
cubes,9
rounded,9
answerwe,9
break,9
methods,9
during,9
budget,9
technique,9
earnings,9
maximum,9
rest,9
soup,9
making,9
xvalues,9
easy,9
education,9
pencil,9
vtext,9
calculators,9
balance,9
bicycle,9
beginaligned,9
simple,9
sqrt7,9
ft,9
learned,9
foot,9
oi,9
umbrella,9
leave,9
previous,9
6text,9
continue,9
y2,9
pipe,9
increased,9
underline,9
increasing,9
ab3,9
measure,8
opposites,8
again,8
able,8
5–16,8
match,8
expand,8
lie,8
running,8
easiest,8
holds,8
preceded,8
answerwhen,8
cup,8
plotted,8
entire,8
pendulum,8
energyefficient,8
techniques,8
lies,8
coaster,8
own,8
never,8
scores,8
restaurant,8
among,8
similar,8
clarinets,8
hold,8
gasoline,8
decreasing,8
obtained,8
sqrt16,8
according,8
strategy,8
therefore,8
good,8
flight,8
segment,8
until,8
x0,8
calculating,8
rationalizing,8
columns,8
combination,8
comes,8
compound,8
t12,8
thousands,8
emily,8
includes,8
stocks,8
goes,8
job,8
pomegranate,8
beginning,8
9–20,8
split,8
cancelacdot,8
regular,8
understand,8
textarea,8
grape,8
representation,8
ydirection,8
ftext,8
come,8
clearing,8
coordinatesamp,8
bonds,8
textsolve,8
rock,8
robert,8
mentally,8
present,8
quiz,8
fernandos,8
dfrac54,8
approximations,8
filled,8
copies,8
river,8
satisfies,8
mutual,8
faces,8
yax2bxc,8
extend,8
differences,8
intersection,8
instance,8
umbrellas,8
constants,8
dropped,8
driving,8
albums,8
circle,8
mental,8
diameter,8
independent,8
filter,8
rates,8
choosing,8
qtext,8
cartesian,8
copy,7
situations,7
copper,7
dfrac16,7
related,7
upper,7
store,7
really,7
unemployment,7
represented,7
blerttextsecond,7
tv,7
equally,7
interpreting,7
thirds,7
sqrt45,7
ax2bxc0,7
dfrac6x,7
blerttextcompute,7
student,7
textfrom,7
vote,7
shop,7
gallon,7
short,7
truck,7
happens,7
dfrac2x,7
dfrac4,7
voters,7
resulting,7
identifying,7
final,7
who,7
enough,7
bulbs,7
dogs,7
expectancy,7
counting,7
rug,7
idea,7
county,7
velocity,7
bridge,7
hundredths,7
tents,7
took,7
filters,7
describes,7
textthe,7
crossmultiplying,7
identical,7
road,7
displays,7
won,7
history,7
blert4,7
classmate,7
interval,7
back,7
having,7
r2,7
proceed,7
space,7
types,7
corresponds,7
sqrt8,7
business,7
sqrtasqrtb,7
saturday,7
saved,7
fruit,7
computed,7
sqrt5text,7
trees,7
jog,7
muffins,7
yes,7
pieces,7
actually,7
office,7
accounts,7
owe,7
answer43,7
measured,7
answer41,7
mugs,7
x3yamp,7
m1,7
2n,7
x7,7
a4,7
loop,7
passengers,7
open,7
lets,7
x1y1,7
life,7
angeles,7
amptextis,7
xs,7
ntext,7
land,7
package,7
agree,7
yx24,7
alert0,7
needs,7
0x,7
–7,7
ytextintercept,7
–9,7
yterms,7
crosses,6
crossmultiply,6
cars,6
x6text,6
machine,6
location,6
catsup,6
growth,6
gtext,6
certain,6
x4y2,6
cookie,6
los,6
chemistry,6
convert,6
7–22,6
consumption,6
parabolas,6
7–20,6
7–18,6
commission,6
considered,6
canceling,6
h0,6
candidate,6
5–30,6
helpful,6
liz,6
inch,6
beans,6
basic,6
bases,6
bars,6
alert,6
version,6
infinitely,6
b2text,6
alert3,6
attract,6
wages,6
assignments,6
assets,6
plate,6
lb,6
blend,6
actual,6
a6,6
paying,6
a2a,6
tomato,6
too,6
lengths,6
legs,6
blertiprt,6
activities,6
phrases,6
blertam,6
leaves,6
picture,6
blert2x,6
blert2,6
percentage,6
definition,6
grids,6
return,6
equality,6
equilateral,6
shortcut,6
1–14,6
since,6
n12,6
slopehphantom0000amp,6
multiples,6
dfracx3058,6
dfracab,6
speakers,6
spend,6
spring,6
required,6
sqrt162,6
morning,6
occur,6
season,6
dfrac58,6
rising,6
employees,6
–11,6
eat,6
nitrogen,6
rule1cm015mm,6
run,6
runs,6
said,6
entering,6
nature,6
discover,6
directly,6
ends,6
digits,6
diet,6
saw,6
refrigerator,6
face,6
5–28,6
market,6
full,6
matt,6
mass,6
depends,6
depend,6
xatext,6
marks,6
arrange,6
suggested,6
decrease,6
5text,6
debts,6
graphically,6
x830,6
manager,6
quart,6
dfrac15,6
raised,6
dfrac45,6
dfrac2x3,6
recognize,6
orchard,6
sqrt9,6
sqrta,6
finish,6
sqrtb24ac2a,6
flakes,6
flying,6
meeting,6
3–14,6
3–24,6
format,6
melody,6
stop,6
megan,6
dfrac1x,6
alert7,6
north,6
x1text,6
x14,6
answeran,6
weekly,6
analyze,6
answerone,6
jar,6
worked,6
anouk,6
apartment,6
amounts,6
pond,6
prt,5
fair,5
underlinehspace2272727272727273em,5
concert,5
dfrac53,5
sure,5
support,5
blert5,5
x23x18,5
fall,5
textmultiply,5
cbs,5
chapters,5
received,5
sqrt52,5
farther,5
fast,5
favored,5
fd4text,5
sunnyvale,5
m15,5
sqrt64,5
6t2,5
abab,5
guess,5
spherical,5
live,5
research,5
x3x,5
desired,5
convenient,5
replaced,5
calls,5
insurance,5
answer2,5
included,5
proper,5
x3x4,5
w2,5
games,5
blert6,5
proportionality,5
pottery,5
word,5
dfrac6,5
symmetry,5
cases,5
punch,5
fewer,5
chester,5
xx2,5
dfrac18,5
blert3,5
accuracy,5
mhphantom0000,5
ralph,5
frac12,5
subrectangle,5
textdivide,5
baseball,5
coasters,5
increments,5
dfrac23text,5
fertilizer,5
portion,5
