Word,Frequency
the,5612
of,2729
a,2494
in,2144
and,1880
is,1747
to,1630
geometry,1335
that,1129
we,756
hyperbolic,656
with,651
this,613
points,579
point,561
on,546
as,478
for,477
are,474
by,457
if,451
z,429
elliptic,424
at,416
circle,402
transformations,399
an,385
be,385
p,376
möbius,372
line,349
beginequation,335
endequation,335
two,333
plane,330
it,329
text,311
transformation,308
from,276
one,274
complex,273
curvature,273
surfaces,268
can,266
any,264
k,264
then,259
so,251
angle,250
all,249
universe,246
c,245
t,242
euclidean,235
amp,229
through,226
triangle,224
have,216
space,208
mathbbc,205
which,205
surface,203
has,199
area,199
about,197
cosmic,196
our,192
q,185
form,185
will,183
cal,179
not,178
figure,175
model,173
circles,172
paragraph,171
distance,168
x,168
lt,166
r,163
sphere,162
these,161
inversion,156
angles,156
number,155
example,154
each,153
b,144
real,143
prove,143
look,141
first,140
topology,139
may,138
radius,137
i,137
its,136
lines,134
theorem,133
suppose,132
d,129
definition,129
between,127
let,126
set,125
origin,125
antipodal,125
group,125
since,122
disk,122
s,121
there,120
or,119
such,119
measurement,117
basic,117
where,117
some,114
three,114
clines,113
unit,112
cline,112
given,111
introduction,111
matter,111
also,110
z0,110
case,109
following,109
thus,106
tz,106
type,106
quotient,103
but,102
w,102
equation,99
called,99
follows,98
show,98
torus,95
section,94
mathbbctext,93
right,92
centered,92
division,91
pi,90
geometries,90
see,90
same,89
infty,88
other,87
upper,84
g,83
threedimensional,83
find,83
polar,83
map,83
gt,82
exercises,82
xkgk,82
edges,82
axis,81
euclids,79
figures,79
manifolds,79
formula,78
poincaré,77
halfplane,76
sum,75
back,75
h,75
extended,74
along,73
now,72
would,71
they,71
no,71
neq,70
qtext,69
inftytext,69
endalign,69
equal,69
beginalign,69
spaces,69
domain,69
rotation,69
edge,68
image,67
fact,67
general,67
length,67
measure,67
u,67
than,66
consider,66
segment,66
crystallography,66
must,65
what,65
family,65
do,64
postulates,64
ctext,64
fixed,63
z1,63
symmetric,62
invariant,62
composition,62
z2,61
sends,61
construct,61
under,61
mathbbd,60
btext,60
closer,60
front,60
you,60
when,60
sky,59
positive,59
intersect,59
mapsto,59
circ,58
brief,58
list,58
center,58
ptext,57
manifold,57
instance,57
trigonometry,57
ztext,57
ideal,57
translation,57
respect,56
boundary,56
leq,56
interior,55
expressions,55
notions,55
index,55
four,55
colophon,55
dedication,55
open,55
acknowledgements,55
references,55
revisiting,55
preface,55
identified,54
basics,54
history,54
invitation,54
numbers,54
pretext,54
symbols,54
reflection,53
hitchman,53
determine,53
michael,53
twodimensional,53
alpha,53
l,53
cell,53
congruent,53
chapter,53
ii,52
note,52
y,52
perpendicular,52
particular,52
skip,51
contentsprevupnext,51
newcommandlt,51
main,51
assume,51
contents,51
gct,51
authored,51
contentrequirecancelnewcommandnin,51
newcommandgt,51
newcommandamp,51
triangles,50
constant,50
only,50
indexprevupnext,50
theta,50
more,50
us,50
into,49
homogeneous,49
function,49
get,48
use,48
itext,48
consists,48
shape,48
proof,47
corner,47
distinct,47
fundamental,47
v,46
because,46
gets,46
mathbbdtext,46
below,46
different,46
atext,46
single,46
ball,45
path,44
preserves,44
well,44
finite,43
fixes,43
parallel,43
maps,43
just,43
whose,42
out,42
denote,42
great,42
another,42
stext,41
inversions,41
onto,41
exists,41
delta,40
circumference,40
face,40
intersection,40
both,40
left,39
them,39
corners,39
n,39
pairs,39
arclength,38
result,38
rtext,38
rectangle,37
itself,37
like,37
dtext,37
together,37
square,37
pictured,37
bug,37
