Word,Frequency
the,30197
of,14140
and,12411
a,10079
is,7314
to,6401
for,5002
in,4532
distribution,3618
are,3600
that,3218
x,2973
mean,2654
two,2626
you,2620
or,2614
this,2595
termschapter,2587
data,2526
it,2482
reviewformula,2388
probability,2362
test,2187
population,2151
with,2059
not,1950
standard,1946
sample,1852
hypothesis,1831
on,1736
from,1685
normal,1661
at,1588
using,1531
together,1452
book,1433
be,1406
openstax,1404
if,1340
central,1338
confidence,1337
limit,1324
one,1304
we,1289
random,1285
means,1236
number,1236
percent,1221
information,1175
single,1156
what,1153
regression,1149
f,1115
chisquare,1113
use,1107
following,1103
students,1096
interval,1088
testing,1082
â¯,1053
an,1038
find,1023
frequency,1010
attribution,1001
reviewpracticehomeworkbringing,995
table,984
as,983
n,959
discrete,929
than,923
theorem,902
b,899
by,885
which,861
statistics,855
deviation,825
sampling,825
value,806
all,796
must,775
then,764
independent,747
time,740
continuous,738
more,738
about,730
part,717
each,703
type,703
values,696
p,692
there,690
measures,687
have,684
university,659
oneway,652
solution,641
will,638
access,635
lab,635
texas,616
null,605
rice,601
license,599
creative,599
â,599
httpsopenstaxorgbooksstatisticspages1introduction,598
commons,598
citation,597
ï,593
line,590
your,565
between,556
linear,552
variable,548
s,548
does,546
were,545
graphs,515
has,509
group,507
do,499
can,496
average,489
may,487
include,472
same,470
college,469
every,466
name,460
when,460
education,458
example,457
school,446
exercises,445
original,444
median,442
location,438
decision,435
calculate,434
graph,430
facts,428
significance,428
page,428
how,427
free,426
î¼,424
i,424
three,423
descriptive,421
answer,421
appendix,420
other,418
samples,415
site,414
expected,413
would,411
pvalue,410
they,407
format,404
material,404
print,403
agency,403
events,401
url,400
digital,399
tea,399
updates,399
who,399
â©,398
logo,398
redistributing,398
cnx,398
experimentkey,398
where,394
outcomes,393
y,382
first,376
us,373
level,373
why,369
figure,369
randomly,369
î±,367
correlation,365
suppose,357
was,353
function,353
proportion,346
let,342
known,341
student,341
z,340
error,339
five,337
px,336
alternative,336
size,334
next,333
their,330
box,329
per,327
different,326
coefficient,321
ti83,317
four,315
tests,313
below,312
binomial,312
study,312
ch,312
people,307
c,306
cost,303
want,303
final,302
total,301
exclusive,299
mutually,299
variation,296
under,295
ii,293
card,293
exponential,292
less,291
so,291
given,289
unknown,287
because,287
class,285
used,284
times,284
uniform,283
center,280
â,279
give,277
bar,276
our,275
key,275
without,275
minutes,274
years,273
press,273
reject,273
practice,271
spread,270
tables,267
h0,266
determine,264
sums,264
percentile,262
poisson,262
draw,260
d,259
area,258
pdf,256
survey,256
such,256
section,255
learning,254
experimental,253
distance,253
tree,253
home,253
dice,251
enter,249
needed,248
comparing,247
geometric,246
goodnessoffit,246
hours,246
state,245
no,243
including,241
help,241
k,240
review,240
should,239
levels,239
calculator,239
series,238
made,237
matched,236
textbook,236
try,235
venn,235
e,235
additional,234
design,234
written,234
paired,233
symbols,231
registered,231
basic,230
hypergeometric,230
prediction,230
available,229
contingency,229
any,229
histograms,228
playing,227
definitions,226
words,225
comparison,225
subject,224
statistic,224
place,224
these,223
rare,222
rules,221
fuel,221
changes,221
stemandleaf,220
year,220
textbooks,220
conclude,220
full,219
polygons,219
mathematical,219
deviations,218
equal,218
explain,217
generate,216
collection,215
board,215
least,215
many,215
cookie,215
complete,214
efficiency,214
advanced,214
pocket,213
share,213
earn,213
â4,212
out,211
express,211
everyone,210
except,210
date,210
physical,210
content,209
otherwise,209
selected,209
consent,209
art,209
stemplots,209
lucky,208
owned,208
skewness,208
improve,208
event,207
international,207
t,207
educational,207
andor,206
prior,206
view,206
licensed,206
results,205
both,205
partner,205
reach,204
today,204
arrow,204
susan,204
womens,204
policy,203
phrases,203
true,203
authors,203
tool,203
notes,203
modify,202
r,202
distributionâlap,202
distributionâpinkie,202
noted,202
barbara,202
covers,202
mission,202
exam,201
plot,201
illowsky,201
dean,201
