Word,Frequency
the,12205
of,5970
and,4165
a,3437
to,2736
is,2489
in,2384
for,2109
we,1671
amp,1329
equation,1236
graph,1205
x,1154
functions,1123
displaystyle,1085
on,988
that,988
by,924
chapter,899
review,880
summary,857
as,782
an,771
equations,733
text,722
with,699
linear,697
function,681
are,672
y,665
graphs,657
endequation,653
beginequation,653
at,628
if,627
models,626
can,619
find,612
quadratic,585
or,567
exponential,562
solution,552
two,547
each,545
use,544
answer,517
example,513
from,504
solve,491
what,488
your,483
fractions,473
write,454
it,445
checkpoint,440
line,414
this,410
formula,402
subsection,397
be,393
beginalign,388
endalign,388
problems,386
number,375
its,373
b,372
practice,369
how,359
you,358
square,353
roots,352
points,346
values,345
algebraic,334
one,331
will,326
value,325
per,325
point,325
solutions,320
t,314
form,313
graphing,313
table,310
logarithmic,307
both,297
not,296
then,281
paragraph,281
systems,279
exponents,277
has,275
more,274
slope,271
applications,268
distance,266
so,264
variation,261
regression,260
when,256
time,253
lines,244
hphantom0000,244
calculator,242
growth,241
inequalities,232
first,231
system,230
using,229
which,229
intercepts,228
logarithms,223
base,222
radicals,221
begingather,219
endgather,219
x2,218
polynomial,217
same,214
their,213
vertex,212
properties,211
cdot,211
have,209
see,209
assemblage,205
data,204
because,203
conic,201
rate,200
exercises,200
operations,200
population,199
power,196
shown,196
after,195
factor,194
variables,191
sections,190
geogebra,190
rational,189
section,189
sides,187
feet,181
app,180
ampamp,179
variable,178
years,178
quickcheck,177
terms,177
c,175
given,175
problem,173
colophon,170
xtext,169
decay,168
where,167
set,167
than,166
was,166
below,164
answers,163
many,162
does,162
up,161
height,157
some,157
about,155
radical,155
miles,149
but,148
any,148
side,148
fraction,148
constant,147
inverse,147
year,145
powers,144
curve,141
times,141
speed,140
log,139
lt,138
expression,138
expressions,137
into,136
natural,135
these,135
also,134
do,133
part,132
factors,132
inequality,131
right,128
cost,127
denominator,126
parabola,125
second,124
above,123
must,123
there,121
all,121
basic,121
shows,120
figure,120
called,120
thus,120
direct,120
window,118
p,118
like,117
negative,116
between,115
formulas,115
gt,114
r,114
price,113
model,113
algebra,112
area,112
should,112
extraction,112
left,111
completing,111
le,110
integer,109
midpoint,109
length,108
units,108
index,107
us,106
make,106
scales,106
vertical,106
root,105
three,104
amount,103
complete,103
evaluate,103
axis,101
exponent,99
standard,99
compute,99
other,98
long,98
reduction,96
only,96
parabolas,96
hour,96
ellipses,94
gaussian,94
working,94
much,94
through,94
k,94
would,94
hyperbolas,93
d,93
obtain,93
water,93
multiply,93
they,93
hours,92
warm,92
positive,92
definition,91
coordinates,91
plot,91
simplify,91
no,90
choose,90
fitting,90
entering,90
started,89
solving,89
temperature,89
nonlinear,89
matter,89
equal,88
horizontal,88
take,88
substitute,87
following,87
getting,87
sketch,87
f,87
every,86
product,86
main,86
preface,85
xintercepts,85
ttext,85
inches,85
zero,85
troubleshooting,84
selected,84
qquad,84
katherine,84
she,84
h,84
contents,83
front,83
yoshiwara,83
intermediate,83
notation,82
authored,82
pretext,82
appendices,82
note,82
newcommandabs1left1right,81
newcommandamp,81
newcommandalert1boldsymbolcolormagenta1,81
delimitershortfall1sp,81
change,81
contentrequirecancel,81
newcommandblert1colorblue1,81
contentsprevupnext,81
gives,81
intalg,81
newcommandgt,81
newcommandccancel2blackrenewcommandcancelcolorcolor1cancel2,81
newcommanddegree0circ,81
newcommandglert1colorgreen1,81
skip,81
prevupnext,81
radius,81
newcommandlt,81
indexcalc,80
total,80
ellipse,79
order,79
add,79
scale,79
may,78
n,78
average,77
hphantom000,77
now,77
increase,77
enter,76
new,76
center,76
circle,76
interest,75
get,75
increases,73
he,73
next,72
volume,72
logarithm,72
ln,71
