Word,Frequency
the,21288
of,16375
and,12205
to,9868
in,8992
a,8296
is,4667
that,4534
as,3321
or,3127
are,2991
for,2844
on,2388
social,2267
by,2002
from,1886
with,1840
it,1763
their,1644
be,1600
they,1567
not,1526
an,1448
this,1431
people,1382
was,1254
have,1172
which,1171
society,1098
more,990
canada,980
at,943
how,913
who,896
what,867
were,856
can,844
has,832
but,821
one,807
other,732
these,727
we,722
than,715
new,714
do,696
life,687
when,686
you,658
between,656
figure,652
about,650
women,624
—,609
sociology,607
world,601
family,592
into,589
like,584
through,574
there,569
also,563
all,558
culture,545
different,536
many,533
group,513
example,503
such,498
canadian,492
way,482
health,480
research,475
retrieved,472
gender,472
some,471
most,469
work,468
while,465
he,461
would,459
individuals,454
children,452
his,451
religious,444
power,442
no,440
will,438
been,436
population,436
its,433
them,426
study,420
class,411
groups,408
cultural,404
only,398
courtesy,395
political,393
time,389
religion,389
however,383
theory,382
based,378
human,376
system,372
might,368
often,365
because,363
had,363
those,355
economic,353
sociological,352
may,350
societies,349
use,346
up,343
individual,342
men,338
public,337
our,337
if,336
being,333
modern,329
education,321
does,320
out,320
her,320
change,317
even,316
global,314
behaviour,311
age,308
over,308
so,303
others,303
state,303
nations,302
sociologists,300
your,298
used,296
both,292
first,291
each,287
where,282
norms,282
process,276
statistics,275
media,274
within,274
development,272
form,269
she,264
technology,262
photo,261
why,260
two,256
experience,256
person,256
another,254
under,253
inequality,251
role,250
forms,248
control,248
university,248
press,247
crime,246
own,245
care,245
same,243
states,237
sexual,237
make,233
roles,233
years,230
countries,230
government,230
members,228
see,227
could,225
means,224
status,222
income,220
us,220
york,214
less,214
families,213
types,211
perspective,209
sex,209
think,209
become,209
common,208
part,208
school,208
themselves,207
beliefs,206
aboriginal,205
movements,205
united,204
analysis,204
after,204
number,202
poverty,202
any,201
percent,200
high,199
commons,198
much,198
without,197
history,197
relationship,195
terms,195
labour,194
order,194
critical,192
specific,191
important,191
movement,190
american,190
students,190
interaction,190
marriage,189
values,187
knowledge,185
aging,185
did,185
view,185
ways,183
image,182
act,181
resources,181
introduction,181
child,180
symbolic,180
rather,180
issues,179
canadians,179
economy,179
around,178
point,177
according,177
sense,176
against,174
well,173
food,173
likely,172
practices,171
take,171
community,169
three,167
structure,167
therefore,167
long,165
living,164
weber,164
systems,164
rates,163
defined,163
perspectives,162
access,162
live,162
key,162
data,161
socialization,160
making,160
production,159
just,158
basis,158
elderly,158
identity,155
place,155
among,155
lives,154
national,154
working,153
must,153
share,153
conditions,153
etc,152
policy,152
organization,151
question,151
jobs,151
parents,151
higher,150
today,150
refers,149
personal,149
rules,148
type,148
practice,147
nature,147
focus,145
institutions,145
seen,143
traditional,143
early,143
since,142
case,142
natural,141
