Word,Frequency
the,1762
to,1064
a,913
and,736
player,704
of,615
for,607
in,597
game,557
is,533
strategy,446
we,441
games,391
you,361
what,340
strategies,324
dilemma,290
if,290
payoff,288
equilibrium,275
exercise,274
that,257
zerosum,243
this,243
prisoners,242
expected,239
each,220
can,205
value,205
are,203
will,192
your,191
with,190
players,189
be,187
points,185
it,183
an,172
matrix,171
or,166
have,164
mixed,162
introduction,152
play,145
do,144
repeated,143
should,138
as,137
probability,134
does,130
how,129
solution,122
twoperson,117
example,115
b,113
now,111
not,108
on,107
use,102
chicken,102
equations,101
plays,100
nonzerosum,95
which,95
by,94
find,93
explain,93
s,92
from,92
using,91
two,91
matrices,90
theory,89
other,89
popular,87
matter,87
culture,86
one,85
determine,84
solve,83
pure,83
more,79
about,79
graph,78
experiment,78
colophon,78
would,78
lt,78
there,77
amp,76
point,76
then,74
c,74
pair,72
endtikzpicture,70
picture,70
begintikzpictureoverlayremember,70
drawshorten,70
poker,69
they,68
has,67
get,67
dominated,66
but,66
any,65
section,65
playing,64
same,64
at,63
information,62
why,62
method,62
consider,62
payoffs,62
our,61
graphical,61
some,61
volunteers,61
sage,61
lines,60
classwide,60
only,60
possible,59
chance,59
all,59
d,58
need,58
paragraph,58
both,58
another,57
choose,56
think,56
row,56
always,56
perfect,53
thus,53
everyone,53
since,53
so,52
answer,52
want,50
liars,50
undercut,50
rational,49
vectors,48
try,48
times,48
his,47
she,47
augmented,47
might,46
twoplayer,46
rationality,46
no,46
values,45
back,45
makes,45
see,44
know,42
just,42
bet,42
choice,41
step,41
opponent,41
maximin,40
than,40
pairs,40
given,40
best,40
index,39
multiplayer,39
table,39
main,39
preface,39
references,39
nordstrom,38
lets,38
her,38
column,38
jennifer,37
discovery,37
firkins,37
compare,37
approach,37
authored,36
pretext,36
front,36
outcome,36
login,35
newcommandgt,35
p,35
newcommandamp,35
newcommandlt,35
newcommanddrawvline3,35
west,35
contentnewcommandmytikzmark2,35
newcommanddrawhline3,35
3ex,35
south,35
2em,35
node,35
line,35
contentsprevupnext,35
anchorbase,35
north,35
skip,35
tikzoverlayremember,35
picturebaseline,35
suppose,35
often,35
contents,35
east,35
win,34
x,34
indexprevupnext,34
where,34
may,33
above,33
number,33
when,32
give,32
assume,32
dont,31
these,31
examples,31
up,30
make,30
cooperate,30
defect,29
represents,29
y,29
call,29
also,29
say,28
text,28
keep,28
different,28
first,28
most,27
time,27
between,26
system,26
finding,26
t,26
he,26
endequation,26
endmatrix,26
beginequation,26
their,25
class,25
bob,25
looking,25
words,24
order,24
cake,24
were,24
even,24
several,24
must,24
such,24
fair,24
minimax,24
represent,23
likely,23
after,23
able,23
note,22
change,22
piece,22
question,22
case,22
own,22
better,22
equilibria,21
next,21
important,21
gets,21
advantage,20
describe,20
alice,20
dtext,20
new,20
three,20
definition,20
onecard,20
used,20
look,20
right,20
us,20
many,20
outcomes,20
equation,20
vector,20
h,20
least,20
stud,20
driver,20
btext,19
recall,19
through,19
following,19
red,19
understand,19
played,19
questions,19
random,18
although,18
decide,18
volunteer,18
write,18
probabilities,18
chapter,18
did,18
dealt,18
mathematical,18
perfectly,18
let,17
work,17
students,17
limit,17
idea,17
bainbridge,17
equally,17
still,17
particular,17
lose,17
defection,17
could,17
few,17
pick,17
conditions,17
fold,16
before,16
arnold,16
was,16
chooses,16
down,15
called,15
them,15
goal,15
battle,15
set,15
cooperators,15
list,15
larger,15
course,15
ideas,15
chose,15
answers,15
happens,15
into,15
confess,15
sure,15
gain,15
help,14
wants,14
sum,14
way,14
m,14
ace,14
group,14
wins,14
intersection,14
apply,14
rather,14
single,14
cards,14
half,14
check,13
determined,13
seen,13
communicate,13
