Word,Frequency
the,1692
of,1033
a,763
is,698
and,571
that,494
to,460
in,436
group,407
amp,380
for,297
geometry,227
let,226
by,218
be,187
endequation,176
beginequation,176
we,170
are,164
with,164
show,155
definition,153
on,150
complex,143
an,141
if,140
set,137
given,130
groups,125
möbius,120
hyperbolic,120
geometries,116
bf,112
g,106
h,104
exercises,102
projective,101
this,101
called,98
elliptic,95
paragraph,90
denote,88
transformation,83
real,81
form,81
equivalence,77
points,75
element,73
numbers,72
quaternions,71
map,71
as,70
s,68
circle,67
following,67
c,66
about,65
see,65
text,65
additional,64
have,64
t,64
all,64
x,63
gtext,63
displaystyle,61
or,61
two,60
stereographic,59
quaternion,59
subsection,59
line,58
write,58
matter,58
where,58
notation,57
z,56
transformations,55
subgroup,55
exercise,54
angle,54
rotation,53
projection,52
unit,51
point,51
e,50
some,49
m,49
r,48
cosets,48
it,48
normal,48
then,47
use,47
checkpoint,46
from,45
triangle,45
any,44
figure,44
right,43
space,43
number,43
find,42
elements,42
subgroups,41
at,41
w,40
rotations,40
n,40
model,39
action,39
not,39
examples,38
multiplication,38
prove,38
actions,37
plane,37
homomorphisms,37
v,37
there,37
introduction,37
operation,36
proposition,36
relation,36
back,36
endarray,35
relations,35
mathcal,35
formula,35
theorem,35
models,35
zto,34
references,34
topics,33
index,33
further,33
preliminaries,33
area,33
lyons,33
circles,33
polar,33
one,33
only,33
using,32
colophon,32
so,32
author,32
preface,32
david,31
beginarraycc,31
xtext,30
content,30
three,30
section,30
s1,30
such,30
main,30
product,29
has,29
front,29
s2,29
vector,29
why,29
fd,29
conjugate,29
renewcommandhrm,28
newcommandamp,28
newcommandcloseddhatd,28
renewcommandsrm,28
every,28
order,28
newcommandcmathbbc,28
newcommandprojmathbbp,28
declaremathoperatorlcmlcm,28
authored,28
pretext,28
newcommandzmathbbz,28
newcommandumathbbu,28
newcommandtwotwo4left,28
newcommandspacerrule0cm0cm0cm,28
newcommandrmathbbr,28
newcommandquatmathbbh,28
newcommandqmathbbq,28
newcommandmrm,28
newcommanddmathbbd,28
newcommandmodmathbintextmod,28
newcommandlt,28
newcommandhuhu,28
newcommandgt,28
contents,28
contentsprevupnext,28
newcommandextrhatr,28
newcommandextfhatf,28
newcommandextchatc,28
newcommanderm,28
newcommandfmathbbf,28
declaremathoperatorinninn,28
declaremathoperatorstabstab,28
declaremathoperatorconjconj,28
declaremathoperatorpermperm,28
skip,28
u,28
declaremathoperatororborb,28
declaremathoperatorrotrot,28
declaremathoperatorautaut,28
declaremathoperatoridid,28
theta,28
declaremathoperatorimgimage,28
declaremathoperatorimim,28
declaremathoperatorrere,28
same,27
indexprevupnext,27
lines,27
y,27
euclidean,27
gto,26
ctext,26
straight,26
htext,26
can,25
homomorphism,25
maps,25
p,25
gin,25
alpha,25
positive,24
sphere,24
integer,24
steiner,24
function,24
under,24
leq,23
identity,23
ztext,23
coordinates,23
xto,23
fixed,23
integers,23
matrices,23
pure,23
case,23
linear,23
suppose,22
takes,22
b,22
fact,22
addition,22
now,22
upper,22
d,22
beginalign,21
cyclic,21
cross,21
denoted,21
composition,21
length,21
itself,21
extc,21
say,21
abc,21
endalign,21
explain,21
f,20
xy,20
nonzero,20
permutation,20
equation,20
zn,20
part,19
isomorphism,19
inverse,19
follows,19
matrix,19
distance,19
pole,18
dimensional,18
each,18
first,18
must,18
also,18
will,18
between,18
pair,18
tin,18
k,17
congruence,17
cline,17
commutative,17
square,17
item,17
vtext,17
means,17
what,17
respect,16
symmetric,16
ratio,16
langle,16
together,16
halfplane,16
both,16
forms,16
you,16
properties,16
rtext,15
here,15
path,15
infty,15
norm,15
ptext,15
equivalent,15
via,15
coordinate,15
binary,15
another,15
kernel,15
lemma,15
vectors,15
vertices,14
expression,14
rectangular,14
vertex,14
above,14
verify,14
north,14
functions,14
type,14
below,14
defined,14
leftrightarrow,14
acts,14
contains,14
argument,14
permutations,14
distinct,14
classes,14
left,14
shows,14
integral,14
r34,14
onetoone,14
answer,14
when,14
phicolon,14
clines,13
thus,13
zast,13
diagram,13
rots2,13
l,13
gh,13
algebra,13
xsim,13
angles,13
written,13
unique,13
r12,13
table,13
r0,13
extctext,13
spherical,13
theory,13
fh,12
respectively,12
conformal,12
xin,12
because,12
example,12
ab,12
center,12
fv,12
mn,12
planar,12
more,12
basic,12
other,12
values,12
imaginary,12
correspondence,12
r14,12
disk,12
weeks,11
flow,11
natural,11
through,11
reflection,11
general,11
symmetries,11
along,11
dtext,11
subset,11
isomorphic,11
proof,11
intersection,11
consider,11
extended,11
scirc,11
stext,11
uquat,11
whose,11
these,11
times,11
conclude,11
origin,11
abcd,11
standard,10
stabilizer,10
ch,10
roots,10
orbit,10
field,10
curves,10
symmetry,10
sequence,10
even,10
cycle,10
define,10
cartesian,10
great,10
sends,10
special,10
property,10
axis,10
z1z2z3,10
second,10
inftytext,10
corollary,10
indeed,10
implies,10
onto,10
ileq,10
do,10
r2,10
which,10
r3,10
fundamental,10
degenerate,10
partition,10
exists,10
sin,10
used,10
sn,10
multiplicative,10
suggestion,9
pq,9
across,9
orthogonal,9
directed,9
translation,9
prime,9
textfor,9
note,9
kind,9
r3quat,9
subspaces,9
r3text,9
doublyasymptotic,9
z2,9
constant,9
collinear,9
top,9
reflections,9
parallel,9
orbits,9
d4,9
how,9
dihedral,9
their,9
conjugation,9
but,9
triangles,9
pm,9
ttext,9
ltext,9
pi,9
list,9
class,9
homothety,9
oriented,9
lie,9
su2,8
nth,8
operations,8
abin,8
entries,8
ntimes,8
s2text,8
useful,8
corresponds,8
convention,8
image,8
may,8
subgeometry,8
asymptotic,8
sides,8
finite,8
cycles,8
phi,8
made,8
xaxis,8
generators,8
welldefined,8
orientation,8
formulas,8
exactly,8
inverses,8
computation,8
way,8
unity,8
details,8
ytext,8
ast,8
chapter,8
curve,8
easy,8
modulus,8
single,8
ntext,8
gcolon,7
cto,7
corresponding,7
hin,7
gk,7
congruent,7
figures,7
d4text,7
graph,7
cos,7
derivation,7
disjoint,7
obtain,7
cayley,7
zaxis,7
necessary,7
ktext,7
z1,7
assemblage,7
rr,7
terminology,7
xg,7
ngeq,7
automorphism,7
make,7
apply,7
cases,7
applying,7
relatively,7
metric,7
call,7
radians,7
modern,7
version,7
alternative,7
trivial,7
just,7
instead,7
units,7
clear,7
i,7
sets,7
inequality,7
semidirect,7
rto,7
un,7
atext,7
types,7
summary,7
invertible,7
alphatext,7
extend,6
q,6
qtext,6
pythagorean,6
fcolon,6
fast,6
previous,6
pqtext,6
possible,6
holds,6
	,6
recall,6
than,6
solution,6
does,6
additive,6
distributive,6
endpoints,6
scolon,6
scalar,6
tangent,6
entry,6
establishes,6
tcirc,6
conversely,6
eulers,6
results,6
terms,6
remaining,6
approximation,6
position,6
solve,6
pitext,6
btext,6
mod,6
vto,6
dz1z2,6
generated,6
geometric,6
z0z1z2z3,6
lies,6
law,6
common,6
give,6
z1z2,6
column,6
its,6
colon,6
into,6
zntext,6
inhomogeneous,6
half,6
independent,6
hto,6
cn,6
mu,6
complete,6
value,6
degrees,6
utext,6
parabolic,6
observe,6
uvw,6
no,6
ngon,6
parameterized,6
begin,6
outline,6
permx,6
subspace,5
uquatto,5
uscirc,5
zw,5
sum,5
dot,5
statement,5
start,5
zplane,5
zz,5
therefore,5
taylor,5
tangents,5
zleftrightarrow,5
definitions,5
tto,5
transposition,5
discussion,5
diameter,5
translations,5
wto,5
transitive,5
wplane,5
different,5
defines,5
differential,5
variable,5
denotes,5
homogeneous,5
specified,5
material,5
pi2,5
parity,5
follow,5
over,5
observation,5
next,5
four,5
fractzptzq,5
ncdot,5
mto,5
mctext,5
gast,5
projv,5
gcdot,5
loxodromic,5
limit,5
lagranges,5
kleinian,5
kcycle,5
inversion,5
intersect,5
inner,5
hint,5
hintuse,5
final,5
proposition 129,5
either,5
rtheta,5
sketch,5
simply,5
simple,5
similar,5
end,5
side,5
endgather,5
said,5
s3text,5
s2to,5
s1text,5
etext,5
family,5
root,5
result,5
region,5
radius,5
rabicjdktext,5
exponential,5
rabicjdk,5
r2text,5
extcto,5
pto,5
proved,5
rcirc,5
—,5
automorphisms,5
check,5
ca,5
associative,5
course,5
closed,5
abelian,5
cdotz1z2z3,5
arbitrary,5
begingather,5
alternating,5
cneq,5
abtext,5
cdots,5
condition,5
arctan,5
construction,5
centralizer,5
bijection,5
connected,4
mathematics,4
z1to,4
many,4
license,4
rvtheta,4
subsets,4
s1to,4
was,4
elementary,4
were,4
fn1,4
s3,4
alphalt,4
lt,4
z0in,4
ccolon,4
nto,4
rtab,4
edition,4
justify,4
taking,4
rproj2text,4
l1l2,4
rrab,4
z2to,4
tab,4
viewed,4
pqr,4
szast,4
leads,4
rrv,4
0text,4
sz,4
polygon,4
satisfy,4
rs,4
planes,4
edges,4
mc,4
pappus,4
parameterizations,4
sigma,4
xast,4
necessarily,4
xzplane,4
c1c2,4
beginarray,4
open,4
xytext,4
gtimes,4
xyplane,4
solutions,4
smallest,4
yaxis,4
extr,4
beta,4
odd,4
ain,4
nonempty,4
contain,4
sim,4
notational,4
simn,4
explicit,4
ordered,4
n2,4
measure,4
modulo,4
work,4
sc,4
test,4
stabx,4
basis,4
scalars,4
might,4
st,4
calculation,4
equality,4
equations,4
n1text,4
mquat,4
mquattext,4
alphabeta,4
mtext,4
multiple,4
establish,4
out,4
specifically,4
specific,4
south,4
term,4
betaneq,4
hline,4
rneq,4
unitary,4
described,4
arc,4
interval,4
completing,4
important,4
tleq,4
ghtext,4
zin,4
proofsee,4
graphical,4
quantum,4
gon,4
artists,4
uv,4
triple,4
understood,4
gives,4
refer,4
though,4
regular,4
gapprox,4
direction,4
assignments,4
clockwise,4
arg,4
ztxtiyt,4
tz,4
projections,4
analogous,4
fraczpzq,4
decomposition,4
rather,4
rangle,4
generator,4
gspace,4
collection,4
isin,4
relationship,4
transpositions,4
draw,4
definition 221,4
drawing,4
v0,4
hu,3
identities,3
consequence,3
up,3
c2,3
c2text,3
mucolon,3
min,3
classification,3
identify,3
aast,3
mucirc,3
writing,3
mu1,3
mirror,3
university,3
srangle,3
