Word,Frequency
the,22788
of,11924
and,7792
a,7692
to,5110
for,5012
in,4977
is,4681
x,2811
functions,2752
amp,2694
we,2402
graph,2236
chapter,2189
function,2066
that,2065
text,1875
equation,1814
an,1692
linear,1667
by,1636
y,1588
displaystyle,1584
on,1566
endequation,1502
beginequation,1502
as,1480
with,1460
if,1285
are,1207
equations,1181
find,1167
summary,1137
review,1127
each,1118
can,1113
at,1109
or,1105
from,1071
projects,1070
two,1055
what,1049
use,1020
graphs,986
graphing,949
number,930
f,881
your,868
you,847
write,826
quadratic,822
b,821
example,810
answer,803
value,800
exponential,788
its,788
this,787
how,783
be,774
solve,758
it,752
line,746
values,712
table,699
numbers,682
n,682
solution,679
will,660
problems,653
systems,644
using,643
solving,631
x2,624
checkpoint,616
expressions,594
variables,588
one,584
formula,578
polynomial,575
c,565
t,561
point,548
exponents,544
per,543
regression,537
terms,534
models,529
form,525
points,522
system,513
calculator,512
first,505
not,504
which,500
has,479
series,479
algebraic,474
then,472
so,461
inequalities,459
rational,454
rate,450
properties,446
have,438
power,433
when,430
logarithmic,429
subsection,426
slope,416
problem,410
time,410
both,390
given,388
ampamp,385
solutions,380
practice,374
same,371
beginalignedt,371
square,370
shown,367
fractions,364
sequences,363
does,363
variation,356
data,353
inverse,351
more,351
where,349
three,348
base,346
hphantom000,345
domain,344
growth,340
geometric,339
all,337
xtext,335
after,331
variable,330
term,329
years,326
d,325
expression,324
hphantom0000,319
part,318
factor,316
their,316
logarithms,310
any,309
because,303
h,303
section,300
about,297
population,297
many,295
below,295
p,293
real,293
notation,291
than,290
factoring,289
feet,284
range,283
endaligned,282
see,281
times,280
cdot,278
height,278
distance,277
second,276
figure,274
sides,273
exercises,272
radicals,271
year,266
but,261
between,259
beginalign,258
constant,258
complex,258
endalign,258
geogebra,258
r,255
make,253
explain,251
sequence,250
was,250
curve,249
modeling,248
cost,248
window,248
app,248
working,247
entering,247
right,245
geometry,244
started,243
getting,243
amount,241
some,239
roots,239
called,239
colophon,238
left,238
i,237
shows,236
should,233
lt,233
decay,232
into,231
xintercepts,229
interest,229
answers,228
sum,226
evaluate,226
area,225
must,224
lines,224
side,224
log,223
absolute,223
basic,218
change,217
thus,217
subsubsection,217
set,213
do,211
x3,210
paragraph,210
fx,210
new,209
length,209
operations,209
binomial,207
factors,207
g,207
skills,206
polynomials,206
inequality,205
arithmetic,204
speed,202
only,202
there,202
these,202
other,201
quickcheck,199
natural,199
horizontal,198
following,198
enter,196
gx,195
vertical,195
price,193
miles,191
m,190
row,190
vertex,188
up,187
e,186
she,186
through,185
license,184
also,183
formulas,183
le,183
sketch,182
z,182
temperature,182
fraction,181
much,180
glossary,176
include,176
hours,175
algebra,174
gt,172
equal,172
may,172
why,170
gives,170
estimate,170
laws,170
units,169
above,168
zero,168
would,166
maximum,166
negative,166
index,166
k,164
like,163
btext,162
increase,161
choose,161
homework,161
simplify,161
plot,159
scales,159
positive,158
press,158
parabola,158
integer,156
expansion,156
order,156
compute,155
denominator,155
long,155
us,155
v,152
