Word,Frequency
the,19303
of,10254
and,9519
to,7066
a,6325
is,4902
in,3504
solve,3019
it,2272
with,2201
we,2195
for,2044
you,2023
this,2016
are,2004
use,1906
number,1787
simplify,1542
try,1519
find,1488
properties,1479
exercisespractice,1458
termskey,1441
conceptsexercisesreview,1441
reviewkey,1441
by,1436
multiply,1433
on,1390
equations,1349
openstax,1321
chapter,1282
add,1251
subtract,1242
whole,1189
as,1181
using,1155
numbers,1151
if,1125
or,1095
each,1075
divide,1073
that,1064
â,1027
following,1015
step,1007
example,1007
solution,983
book,947
an,896
â,884
not,869
be,868
equation,855
decimal,849
what,836
exercises,834
write,827
will,809
how,801
attribution,792
fractions,787
at,758
fraction,738
then,712
one,682
from,677
license,657
solving,655
translate,646
all,630
common,604
property,574
applications,570
two,563
when,534
than,531
information,528
so,528
commons,527
creative,525
can,509
mixed,507
addition,503
problem,492
section,487
linear,485
multiplication,483
line,481
division,481
was,479
subtraction,475
must,475
have,472
introduction,471
both,467
more,462
which,460
value,453
part,447
square,443
language,431
name,424
feet,417
evaluate,414
area,412
place,408
university,408
figure,406
rice,402
your,398
access,398
real,396
httpsopenstaxorgbooksprealgebra2epages1introduction,394
citation,393
expression,389
has,385
many,380
convert,379
point,375
integers,375
check,372
into,371
product,370
sum,370
slope,365
formula,352
side,350
percent,346
answer,342
interest,342
triangles,341
same,339
understand,339
right,336
every,332
decimals,331
does,328
math,321
variable,315
geometry,313
volume,312
three,311
prime,310
terms,305
equal,304
length,304
price,303
denominator,299
there,296
model,293
exponents,293
first,290
graphing,290
under,289
include,288
sides,286
their,283
given,283
prealgebra,282
expressions,281
quotient,276
negative,276
do,273
rectangular,273
us,273
inches,272
e,272
rate,271
format,271
surface,271
help,269
â,269
difference,268
get,268
page,267
licensed,267
left,267
print,267
factors,266
she,266
free,265
where,265
digital,263
site,263
â©,262
url,262
logo,262
xx,262
redistributing,262
cnx,262
different,258
total,258
any,250
variables,250
angles,241
factor,240
identify,238
sales,238
her,235
like,231
tax,231
he,230
may,228
make,225
multiples,222
our,221
commission,220
x,218
college,217
â,216
review,216
take,216
general,214
rational,213
height,212
table,211
money,210
students,210
below,209
discount,209
its,209
zero,208
less,207
least,207
coordinate,205
much,205
written,205
notation,204
identity,202
yy,201
order,201
distributive,199
commutative,199
times,199
integer,197
scientific,197
points,197
factorization,197
determine,196
form,196
roots,195
his,195
need,192
want,191
they,191
constants,190
irrational,189
since,189
circles,189
graph,188
equality,187
simple,187
words,184
between,182
prepared,180
miles,180
proportions,178
associative,177
amount,176
width,176
did,175
round,174
no,173
see,173
now,171
triangle,170
numerator,170
word,170
sentence,169
visualize,167
rectangles,167
pythagorean,167
without,167
specific,167
missed,167
such,166
complex,166
give,165
substitute,164
aa,164
let,163
equivalent,162
read,162
per,160
ratios,159
digit,158
answers,158
after,158
improve,157
would,156
up,155
models,153
inverses,153
systems,152
earn,152
irregular,152
averages,151
but,151
share,151
powers,151
nearest,151
factoring,149
four,149
original,148
reach,148
choose,148
them,148
except,147
were,146
learning,146
y,146
represent,145
sign,145
view,145
algebraic,145
geometric,143
multiplying,143
cost,142
before,142
positive,140
express,140
notice,140
used,139
hundred,139
textbooks,139
covers,139
textbook,138
rectangle,138
content,137
units,137
location,137
andrea,136
cumulative,135
policy,135
prior,135
shown,134
texas,134
tool,134
look,134
title,134
numbers71,134
andor,134
integers34,134
looking,134
authors,134
mission,133
marecek,133
maryanne,133
rewrite,133
anthonysmith,133
subject,133
nonprofit,132
theorem94,132
international,132
intercepts114,132
integers35,132
next,132
applications64,132
integers33,132
percent62,132
decimals55,132
probability56,132
applications65,132
applications93,132
notation106,132
integers32,132
exponents103,132
board,132
numbers12,132
numbers13,132
everyone,132
properties73,132
produced,132
equations113,132
ratio,132
rate57,132
registered,132
mathis,132
system112,132
denominators46,132
denominators45,132
method,132
zero75,132
educational,132
equality24,132
equality82,132
strategy92,132
monomials105,132
equality83,132
property74,132
numbers15,132
numbers14,132
otherwise,132
numbers47,132
area97,132
expressions23,132
operations53,132
owned,132
figures96,132
sides84,132
algebra22,132
polynomials102,132
fractions44,132
trapezoids95,132
honeycutt,132
fractions42,132
fractions43,132
fractions54,132
polynomials104,132
decimals51,132
today,132
apâ®,132
decimals52,132
factors25,132
lynn,132
percent63,132
called,132
fractions41,132
numbers72,132
endorse,131
decimalsintroduction,131
uselicensingprivacy,131
accessibility,131
test6,131
test10,131
test5,131
test4,131
test3,131
geometryintroduction91,131
test2,131
test11,131
ussupport,131
generate,131
linechapter,131
fractionschapter,131
variablechapter,131
test7,131
consent,131
date,131
