Word,Frequency
the,3245
of,2263
functions,1529
and,1456
a,1243
to,1138
is,873
function,848
in,731
we,533
gist,523
that,398
you,392
vertical,365
for,359
this,334
checkpoint,325
an,321
as,307
or,303
graph,302
notation,292
exponential,276
it,273
output,254
input,248
domain,247
x,242
will,240
be,239
power,225
horizontal,220
if,217
change,217
by,209
range,208
on,207
use,195
are,192
composition,191
beginequation,190
endequation,190
activity,189
polynomials,186
can,183
number,181
logarithmic,177
combinations,175
piecewise,175
defined,174
stretches,166
periodic,164
reflections,161
translations,160
have,158
fx,155
from,153
text,152
at,149
y,146
formula,142
amp,142
percent,139
what,136
all,133
example,131
with,131
then,123
equation,123
paragraph,118
compounding,118
rate,117
inverse,116
how,110
definition,110
when,109
inverses,108
two,108
would,106
has,106
which,105
one,102
each,99
subsection,99
average,97
student,97
your,96
same,95
value,95
so,94
values,92
not,92
find,89
time,89
means,87
its,82
but,80
may,79
polynomial,77
rational,77
next,76
about,76
transformations,75
factor,74
linear,74
know,74
write,74
like,74
using,72
get,70
growth,70
exercise,68
behavior,67
just,66
f,66
only,65
other,65
there,64
review,63
where,63
content,62
negative,62
our,61
reading,60
e,60
any,60
called,59
t,58
than,58
figure,58
now,58
matter,57
beginalign,57
some,57
endalign,57
describing,56
approach,56
over,55
introduction,55
after,55
determine,55
into,54
learning,54
finance,54
colophon,53
green,53
acknowledgements,53
instructor,53
index,53
constant,53
jack,53
solve,53
answer,52
active,52
because,52
front,52
evaluate,52
continous,52
reference,52
chura,52
projects,52
see,52
precalculus,52
nick,51
pretext,51
graphs,51
x2,51
hours,51
main,51
positive,51
was,50
elementary,50
increase,50
skip,50
newcommandamp,49
newcommandgt,49
newcommandlt,49
login,49
authored,49
contents,49
contentsprevupnext,49
prevupnext,49
pc1mhcc,49
expression,49
line,48
model,48
indexcalc,48
gx,47
should,47
they,47
us,47
these,47
between,46
zero,46
math,45
also,45
point,45
make,44
exponent,44
inputs,44
table,44
root,44
section,44
different,43
first,43
