Word,Frequency
the,34761
and,31777
of,21712
to,16356
in,13589
a,10764
is,6201
thinking,5667
concepts,5655
summaryselfcheck,5565
questionscritical,5565
questionsreview,5565
termskey,5565
trade,5123
demand,5000
for,4712
how,4625
economic,3826
policy,3685
on,3480
this,3321
that,3281
supply,3123
international,2998
price,2916
are,2906
government,2796
or,2763
openstax,2661
an,2650
aggregate,2595
chapter,2580
as,2476
unemployment,2378
not,2177
exchange,2169
at,2103
it,2084
you,2080
by,1978
from,1944
what,1940
gdp,1908
book,1891
fiscal,1847
keynesian,1819
macroeconomic,1766
money,1719
labor,1689
monetary,1663
capital,1662
elasticity,1630
bank,1625
attribution,1592
financial,1581
with,1560
will,1515
neoclassical,1501
over,1481
be,1474
if,1452
countries,1433
us,1416
economy,1366
its,1355
changes,1354
market,1353
license,1326
which,1308
investment,1305
rate,1298
all,1290
we,1286
shifts,1278
other,1224
causes,1219
more,1181
goods,1178
quantity,1165
equilibrium,1161
use,1122
macroeconomics,1116
can,1114
creative,1089
commons,1088
rates,1053
level,1024
has,1021
than,999
then,989
must,979
inflation,975
between,970
when,945
have,941
foreign,939
around,921
world,909
information,908
federal,906
part,900
measuring,885
building,875
their,870
university,861
real,858
principles,840
economists,839
national,824
access,819
rice,805
one,803
httpsopenstaxorgbooksprinciplesmacroeconomics2epages1introduction,796
citation,795
perspectiveintroduction,795
economies,781
growth,763
central,760
model,739
they,737
deficits,734
using,718
budget,714
would,713
production,702
following,687
law,676
borrowing,675
every,673
curve,671
country,658
system,656
may,651
adas,638
absolute,633
effects,629
figure,629
cost,620
recession,617
but,615
does,613
under,612
about,597
free,595
affects,594
include,593
choice,588
why,579
e,572
globalization,568
balances,567
blocks,562
name,561
budgets,559
tracking,559
impacts,553
currency,552
banks,552
make,552
where,547
digital,544
markets,544
print,542
these,540
page,536
licensed,534
format,534
higher,531
site,531
logo,530
â©,530
url,530
0chapter,530
flowsintroduction,530
policykey,530
redistributing,530
cnx,530
increase,523
balance,515
example,515
income,514
work,512
domestic,501
per,494
wages,492
advantage,487
such,486
productivity,481
united,479
so,475
spending,470
consumers,467
time,464
states,464
some,464
jobs,461
interest,451
economics,451
up,450
reserve,450
because,448
well,446
change,444
physical,442
prices,432
long,432
workers,432
measure,426
like,425
also,422
private,420
short,419
however,418
relatively,414
based,411
do,410
comparative,410
below,402
social,399
people,399
saving,396
was,389
out,385
year,385
new,381
shift,379
section,379
each,378
benefits,377
many,376
recent,374
perspective,373
flows,372
shows,370
produced,369
nominal,367
size,367
without,366
governments,366
protectionism,357
individuals,357
possibilities,354
standards,353
lower,353
want,352
measures,351
choices,349
cases,346
share,344
components,344
banking,344
working,343
similar,343
across,343
m1,342
barriers,340
problems,340
services,339
college,339
frontier,338
difference,338
understand,337
role,336
values,336
question,334
two,333
phillips,331
create,330
who,330
view,330
support,328
help,328
experience,328
good,327
tax,325
happens,324
reducing,324
table,323
output,323
constant,320
our,320
among,319
models,319
give,313
tradeoffs,311
students,310
arguments,309
balanced,309
expenditureoutput,309
automatic,309
patterns,308
areas,307
gross,303
today,303
define,302
various,301
intraindustry,301
practical,301
less,300
indexing,299
earn,299
theories,297
only,297
discretionary,297
tool,296
board,296
sayâs,295
subsidy,295
firms,295
perspectives,294
demandaggregate,294
pitfalls,294
enact,294
compute,293
ceilings,293
keynesâ,292
everyone,292
comparing,292
restricting,292
historical,291
indirect,291
efficient,290
overview,290
fourstep,290
learning,290
mathematics,289
otherwise,288
reach,288
improving,287
confusion,287
potential,287
there,287
adjusting,287
subject,286
organize,286
mechanism,286
fight,285
deficit,283
microeconomics,283
improve,283
countriesâ,283
implications,283
same,283
defining,282
noted,282
arrival,281
most,281
globally,278
diversity,278
generate,278
express,278
confronting,278
objections,278
into,278
wellbeing,278
regionally,277
executes,277
educational,277
welcome,276
balancing,276
polar,276
david,276
advanced,275
except,275
written,275
incorporates,274
covers,274
while,274
content,273
both,273
textbook,273
cons,272
pros,272
steven,272
andor,272
supplyâaggregate,272
location,271
attribute,271
texas,271
much,270
those,270
high,270
nonprofit,270
date,270
shapiro,269
policy154,269
greenlaw,269
jan,269
amazon,268
prior,268
owned,268
authors,268
associate,267
unemployment83,267
houston,267
supply31,267
textbooks,267
registered,267
unemployment81,266
trade201,266
constraint22,266
growthintroduction,266
policy177,266
point,266
tradeintroduction,266
growth71,266
cite,266
publication,266
perspective131,266
growth72,266
apâ®,266
mission,266
elasticity51,266
even,266
choices23,266
supplyintroduction,266
title,266
recommend,266
capital104,266
growthkey,265
advantage202,265
modify,265
worldintroduction,265
banks152,265
banks144,265
debt174,265
bankingintroduction,265
outcomes155,265
banking141,265
publisherwebsite,265
5chapter,265
consent,265
01c3,265
supply52,265
supply114,265
purchasescitationattribution,265
countries65,265
supply113,265
supply112,265
pageprinciples,265
unemploymentintroduction,265
world194,265
rise,265
borrowing181,265
borrowingintroduction,265
1chapter,265
helpcontact,265
moneykey,265
world191,265
world192,265
trademarks,265
works162,265
time64,265
modelintroduction,265
inflation175,265
inflation91,265
inflation92,265
issues14,265
protectionism211,265
inflation94,265
inflation95,265
inflationintroduction,265
pricing54,265
forceskey,265
oct,265
statementterms,265
convergencekey,265
regions195,265
modelanswer,265
reproduced,265
goods203,265
informationkey,265
3chapter,265
ussupport,265
pricekey,265
functions142,265
stabilizers176,265
2chapter,265
copyas,265
model111,265
protectionismintroduction,265
flows161,265
flows101,265
inflation116,265
societykey,265
balances102,265
keychapter,265
balancekey,265
balance183,265
balance182,265
regulation151,265
growth74,265
highlightsprinttable,265
contentgo,265
regulation153,265
growth73,265
contentspreface1,265
regulationintroduction,265
tradekey,265
contentstable,265
saving184,265
context103,265
values63,265
openstaxskip,265
modelskey,265
4chapter,265
modelkey,265
demand115,265
floors35,265
affiliated,265
spending172,265
producers212,265
questionsproblems8,265
accessibility,265
systemskey,265
marketsintroduction,265
product62,265
markets43,265
questionsproblemsa,265
9chapter,265
questionsproblems9,265
questionsproblems7,265
questionsproblems20,265
questionsproblems6,265
nationally215,265
questionsproblems5,265
questionsproblems4,265
6chapter,265
concernskey,265
questionsproblems3,265
questionsproblems21,265
centerfaqopenstaxpressnewslettercareerspoliciesaccessibility,265
policyintroduction,265
rates164,265
identity105,265
taxation173,265
services32,265
run84,265
economicsb,265
rate82,265
runkey,265
