Word,Frequency
and,26713
the,24517
of,15809
to,14986
in,11423
a,10409
is,5683
thinking,4898
concepts,4890
questionscritical,4800
questionsreview,4800
termskey,4800
summaryselfcheck,4800
for,4600
how,3791
that,3169
demand,3134
this,3072
on,3018
price,2972
an,2835
are,2772
labor,2670
supply,2634
or,2524
costs,2435
openstax,2411
chapter,2362
it,2274
economic,2172
financial,2082
at,2063
you,2037
not,2020
as,1999
production,1826
book,1721
information,1708
from,1695
by,1642
environmental,1640
international,1626
will,1552
trade,1509
elasticity,1508
if,1499
market,1455
attribution,1442
can,1410
quantity,1407
public,1378
be,1376
income,1360
what,1296
all,1294
markets,1294
with,1273
output,1251
which,1247
cost,1239
microeconomics,1232
more,1220
license,1210
we,1198
poverty,1119
why,1077
us,1026
than,1019
competition,995
creative,988
commons,986
competitive,984
monopoly,961
use,958
have,946
between,946
firms,935
one,934
equilibrium,915
goods,910
other,901
must,898
then,896
long,893
economics,891
has,871
they,848
curve,846
consumer,828
firm,826
make,819
their,819
monopolistic,807
perfect,803
when,802
would,798
part,789
university,773
principles,764
choice,761
benefits,753
access,751
marginal,743
rice,729
government,729
world,728
httpsopenstaxorgbooksprinciplesmicroeconomics2epages1introduction,721
citation,720
industry,712
its,694
policy,672
perfectly,669
where,657
consumption,652
may,650
changes,646
wages,646
short,635
every,628
total,627
following,608
positive,601
prices,601
imperfect,600
barriers,597
protection,590
risk,583
absolute,580
system,579
employment,577
free,574
insurance,568
negative,563
interest,563
does,562
under,553
about,548
include,548
governments,546
antitrust,542
average,539
but,537
externalities,533
figure,527
name,523
budget,523
e,521
globalization,520
work,514
each,507
regulating,507
example,503
workers,498
digital,495
consumers,493
print,492
higher,492
page,486
licensed,483
format,482
redistributing,481
site,481
cnx,480
informationkey,480
logo,480
url,480
marketsintroduction,480
â©,480
pricekey,480
such,476
some,467
country,464
advantage,457
these,448
table,445
choices,441
new,441
reduce,440
like,440
point,431
so,431
up,428
because,426
economists,424
however,423
social,418
states,417
good,416
two,415
economies,410
jobs,404
united,403
indifference,399
who,397
do,396
many,394
private,393
affect,393
change,388
comparative,377
level,372
lower,370
people,368
decisions,368
based,367
shifts,366
below,365
share,364
using,363
per,360
inequality,360
earn,359
without,358
rate,356
also,355
increase,354
entry,353
businesses,353
only,353
households,352
raise,351
countries,350
problem,350
present,349
shows,349
produce,343
natural,342
section,342
policies,341
cases,341
reducing,340
same,340
efficiency,340
power,339
similar,337
effects,336
produced,336
possibilities,333
individuals,332
protectionism,329
frontier,328
want,327
theory,322
profitmaximizing,322
utility,320
less,319
college,317
pay,317
form,317
support,317
working,317
time,316
give,315
those,315
great,313
there,303
understand,302
constant,300
personal,299
our,298
both,298
corporate,296
much,295
view,295
safety,295
tradeoff,295
marketoriented,294
happens,292
product,291
side,291
help,290
special,289
revenue,287
tradeoffs,285
alternative,284
monopolies,283
exit,283
commandandcontrol,282
models,282
over,282
efficient,282
areas,279
encourage,278
was,278
asymmetric,277
subsidy,277
arguments,277
today,277
chooses,277
students,276
intraindustry,276
everyone,276
different,275
physical,273
high,273
accounting,272
explicit,272
sector,271
reach,270
ceilings,270
voter,269
tool,269
profits,269
board,268
even,268
implicit,268
organize,267
restricting,267
wage,267
demanded,267
deregulation,267
discounted,267
democratic,266
indirect,266
fourstep,266
learning,265
theories,265
mathematics,265
framework,265
educational,265
anticompetitive,264
subject,264
enact,263
owned,261
behavioral,261
no,261
mechanism,260
otherwise,260
overview,258
drawing,258
underinvests,257
improve,256
imperfectly,256
line,255
amazon,254
bilateral,254
flaws,254
covers,254
shift,254
globally,253
confronting,253
objections,253
participation,252
express,252
regionally,252
andor,251
date,251
accumulate,251
noted,251
polar,251
location,251
david,250
measurement,250
advanced,250
welcome,249
content,248
except,248
out,248
textbook,247
trademarks,247
generate,246
prior,245
nonprofit,245
written,245
steven,245
texas,245
greenlaw,244
authors,244
publication,244
registered,244
attribute,243
shapiro,243
mission,243
number,243
textbooks,242
supply31,242
recommend,242
monopoly91,242
title,242
cite,241
competitionintroduction,241
apâ®,241
unions144,241
constraint22,241
competition81,241
choices23,241
trade191,241
structureintroduction,241
line152,241
elasticity51,241
associate,241
trap153,241
houston,241
producers202,240
services33,240
highlightsprinttable,240
nationally205,240
causes155,240
process34,240
oligopoly101,240
helpcontact,240
affiliated,240
goodskey,240
pricing54,240
economyintroduction,240
profit72,240
net154,240
capital173,240
openstaxskip,240
economies194,240
goodsintroduction,240
economy181,240
goods193,240
capital172,240
goods131,240
oligopolyintroduction,240
capital,240
policy111,240
economicsintroduction11,240
governmentkey,240
economicsb,240
discrimination146,240
centerfaqopenstaxpressnewslettercareerspoliciesaccessibility,240
advantage192,240
oligopolykey,240
questionsproblemsa,240
run74,240
services32,240
7chapter,240
questions2,240
reproduced,240
5chapter,240
questions15,240
market143,240
issues14,240
issues126,240
conditions203,240
matters82,240
consent,240
6chapter,240
pollution122,240
qualifying,240
experimentkey,240
markets142,240
uselicensingprivacy,240
contentgo,240
contentspreface1,240
contentstable,240
8chapter,240
regulation123,240
insuranceintroduction,240
ussupport,240
insurance161,240
behavior113,240
copyas,240
mergers112,240
innovation133,240
keychapter,240
jan,240
innovation132,240
questionsproblems19,240
questionsproblems9,240
questionsproblems8,240
1chapter,240
questionsproblems7,240
questionsproblems6,240
questionsproblems5,240
marketskey,240
competition102,240
questionsproblems4,240
questionsproblems3,240
markets43,240
2chapter,240
questionsproblems20,240
questionsproblems18,240
questionsproblems10,240
markets42,240
questionsproblems17,240
3chapter,240
floors35,240
questionsproblems16,240
questionsproblems14,240
questionsproblems13,240
4chapter,240
markets41,240
questionsproblems12,240
statementterms,240
markets171,240
questionsproblems11,240
sep,240
pageprinciples,240
wealthkey,240
run75,240
elections182,240
choicesintroduction,240
immigrationkey,240
accessibility,240
monopolies114,240
protectionkey,240
valueanswer,240
choices63,240
runkey,240
decisions83,240
elasticityintroduction,240
elasticity53,240
choices62,240
choices61,240
monopoly145,240
protectionismintroduction,240
monopolyintroduction,240
protectionism201,240
choicekey,240
structure71,240
policykey,240
policyintroduction,240
tools124,240
efficiencykey,240
scarcity21,240
systemskey,240
placementâ®,240
macroeconomics13,240
approachkey,240
laws125,240
run84,240
run73,240
modify,240
entry92,240
supply52,240
information162,240
0chapter,240
inequalitykey,240
inequalityintroduction,240
inequality151,240
9chapter,240
supplyintroduction,240
politics183,240
externalities121,240
endorse,240
purchasescitationattribution,240
01c3,240
incomeintroduction,240
important12,240
tradeintroduction,240
tradekey,240
imports204,240
externalitiesintroduction,240
scarcityintroduction,240
curvesc,240
income141,240
publisherwebsite,240
b,239
should,238
any,236
into,235
most,232
producing,231
might,231
company,228
year,221
while,221
first,220
economy,218
effect,218
case,215
money,212
since,212
products,211
million,209
way,208
amount,208
run,206
were,204
explain,201
companies,200
your,199
could,196
previousnextorder,196
tax,196
services,196
opportunity,195
value,191
thus,191
supplied,189
given,189
large,189
years,185
often,185
certain,184
greater,184
after,182
return,180
sell,179
result,179
variable,179
additional,177
oil,176
profit,175
union,170
technology,169
end,169
through,169
constraint,167
buy,166
means,163
had,163
them,161
pollution,161
increases,160
curves,159
he,158
another,158
down,157
now,156
low,156
stock,155
able,154
original,152
benefit,151
three,150
education,150
set,149
relatively,149
percentage,148
small,145
see,145
health,144
whether,142
fixed,142
just,139
consider,139
need,139
ch,138
axis,138
society,138
provide,137
very,136
been,134
scale,134
choose,134
resources,134
right,133
rise,133
situation,131
group,130
key,130
service,130
graph,129
possible,129
likely,129
think,129
business,129
law,129
equal,128
his,128
own,125
federal,125
receive,124
increased,124
hours,123
show,123
ã,122
vertical,121
levels,120
0referencesindex,119
data,118
firmâs,118
second,118
future,118
above,117
surplus,117
c,117
bank,116
calculate,116
producers,115
before,115
factors,114
few,113
national,113
least,113
credit,113
find,112
along,110
making,108
charge,108
either,108
units,108
laws,108
well,107
step,106
minimum,106
decrease,106
take,106
spending,105
questions,105
horizontal,105
zero,105
act,103
left,103
slope,102
unit,102
sugar,101
industries,101
instead,100
rates,100
cause,99
cannot,99
population,98
losses,98
purchase,98
individual,97
accessed,97
bonds,97
ways,97
answer,96
bond,96
imports,95
rises,95
domestic,94
called,94
say,93
causes,93
process,93
p,93
gains,93
last,93
clear,93
still,92
four,91
investment,91
willing,91
state,91
typically,89
person,89
according,89
selling,89
points,89
payments,88
terms,88
tons,88
paid,87
inputs,87
get,87
did,86
lowincome,85
determine,85
housing,84
measure,84
always,84
sometimes,84
including,84
smaller,83
car,83
common,83
research,83
larger,83
healthcare,82
become,82
job,82
sales,82
care,82
suppose,82
employers,82
increasing,81
longrun,81
corn,80
gain,80
lead,80
ekey,80
substitution,80
better,79
others,79
little,79
specific,79
against,78
area,78
worker,78
overall,78
her,78
shown,77
home,77
enough,77
buying,77
food,77
fall,77
relationship,76
taxes,76
0referencesindexlearning,75
diagram,75
used,75
five,75
analyze,75
discrimination,75
sold,75
face,75
rather,74
mc,74
look,74
single,74
made,74
range,74
program,73
third,73
groups,73
monopolist,73
occurs,73
top,73
too,73
movies,73
programs,72
impact,72
vote,72
difference,72
several,72
family,72
cars,72
objectivesby,72
produces,72
off,72
conditions,71
available,71
loss,71
issues,71
spend,71
account,71
provides,71
around,70
foreign,70
makes,70
pizza,70
global,70
tickets,70
air,70
sellers,70
billion,70
received,69
offer,69
call,69
distribution,69
inelastic,68
back,68
important,68
graphs,68
illustrates,68
bureau,67
problems,67
savings,67
department,67
degree,67
next,67
political,67
growth,67
know,67
elastic,66
during,66
incentive,66
buyers,66
pays,66
funds,66
general,65
regulation,65
unions,65
falls,65
employees,65
reason,65
identify,65
property,65
earnings,65
investors,64
she,64
examples,64
fewer,64
nations,64
poor,63
together,63
life,63
customers,63
brazil,62
bottom,62
recent,62
divided,62
legal,62
local,62
hire,61
tend,61
size,61
model,61
bus,61
city,61
bring,61
questionsprinciples,60
diminishing,60
mean,60
returns,60
draw,60
questionsmy,60
american,60
particular,60
feature,59
toward,59
floor,59
analysis,59
tariffs,59
early,59
gas,58
producer,58
period,58
decide,58
website,58
reasons,58
standards,58
difficult,58
preferences,58
highincome,57
combination,57
hour,57
quintile,57
phone,57
quantities,57
go,57
leads,56
approach,56
receives,56
decades,56
actually,56
incomes,56
paying,56
nurses,56
relative,55
faces,55
current,55
q,55
revenues,55
development,55
quality,55
gasoline,55
day,55
living,54
decline,54
