Word,Frequency
the,16597
and,14519
of,13721
to,9182
a,7973
is,6777
in,6487
that,4062
are,3844
thinking,3265
application,3003
questionscritical,2944
questionspersonal,2944
termssummaryreview,2944
this,2854
what,2713
for,2690
with,2611
or,2501
you,2492
as,2421
on,2165
openstax,1840
by,1809
be,1747
not,1688
an,1591
we,1473
psychology,1429
book,1321
which,1295
from,1287
psychological,1282
have,1163
at,1147
attribution,1134
social,1077
they,1070
it,1058
more,1051
their,1036
information,1007
can,999
how,993
other,962
learning,946
our,932
license,922
people,906
if,904
was,876
stress,874
one,869
research,810
such,801
personality,774
who,764
creative,758
sleep,747
may,747
disorders,746
commons,745
when,742
figure,732
brain,731
these,716
all,705
use,698
behavior,692
must,690
part,688
about,674
were,635
treatment,624
memory,608
university,600
therapy,599
lifespan,595
has,594
access,590
human,590
states,585
why,584
disorder,578
then,578
your,572
httpsopenstaxorgbookspsychology2epages1introduction,553
citation,552
rice,552
example,551
include,548
some,543
will,540
problems,529
work,529
also,518
nervous,501
than,492
following,492
do,489
factors,481
would,481
his,475
stages,470
time,470
mental,461
organizational,460
he,452
health,447
study,444
under,431
parts,430
but,428
children,427
industrial,427
every,426
there,425
physical,415
between,411
individuals,410
sensation,406
name,405
us,402
help,395
person,394
anxiety,393
intelligence,392
free,390
site,378
many,377
sexual,377
licensed,374
page,374
e,373
digital,372
format,372
does,370
group,369
print,369
logo,369
different,369
cnx,368
â©,368
url,368
redistributing,368
experience,364
often,360
might,359
section,356
been,353
her,351
most,347
types,346
because,345
development,344
those,338
using,335
during,324
biological,323
involved,323
into,320
she,316
students,310
through,308
system,308
related,307
where,301
two,301
freud,300
over,300
ways,297
however,296
model,295
theory,295
used,291
view,290
had,289
likely,288
life,285
problem,284
each,283
behaviors,280
cognitive,277
today,276
important,276
cells,275
without,273
both,272
mood,268
others,268
cultural,267
death,267
while,264
emotion,263
attitudes,261
so,261
associated,260
negative,258
another,256
want,256
college,255
prejudice,255
being,254
substance,251
classical,250
al,249
et,249
job,248
like,247
waves,246
andor,246
credit,244
approaches,244
operant,244
past,243
versus,243
history,239
them,238
response,238
workplace,237
years,237
think,235
first,235
principles,234
trait,234
dissociative,233
found,233
improve,228
stimulus,227
individual,226
conformity,225
observational,225
after,225
learn,223
out,222
give,222
jung,222
endocrine,221
measures,221
perspectives,219
positive,219
careers,219
gestalt,218
spinal,218
erikson,217
symptoms,217
reach,217
regulation,217
below,216
source,216
share,216
everyone,215
no,215
make,215
humanistic,215
hunger,214
special,214
new,213
subject,208
obsessivecompulsive,208
educational,208
studies,207
high,207
policy,207
prior,207
researchers,206
produced,206
associate,206
emotional,205
adler,205
content,205
control,205
noted,204
psychodynamic,204
introduction,204
sociocultural,203
william,203
only,203
even,203
number,202
posttraumatic,202
its,202
dimension,201
prosocial,201
stage,200
consent,200
enhance,200
substancerelated,200
contemporary,200
d,200
express,199
addictive,199
date,198
tool,198
generate,198
experiences,198
earn,197
board,196
neofreudians,196
location,195
compliance,195
selecting,195
written,195
advanced,194
known,193
lifestyle,193
except,193
psychologists,193
levels,192
title,192
international,192
way,192
evaluating,192
jenkins,192
m,192
analyzing,191
otherwise,191
textbook,191
recommend,190
modify,190
industrialorganizational,190
classifying,190
j,190
attribute,189
pursuit,189
understandings,189
diagnosing,189
covers,188
could,188
mission,187
nonprofit,187
texas,187
participants,187
accessibility,187
authors,187
publication,187
rose,186
consciousness42,185
