Word,Frequency
the,10740
of,5181
and,4278
a,3080
is,2484
to,2433
in,2001
theta,1995
for,1926
angle,1290
we,1254
hphantom0000,1204
sin,1133
displaystyle,1129
cos,1108
find,971
that,951
x,867
are,853
angles,799
functions,793
chapter,760
graph,755
triangle,730
amp,727
an,725
at,701
review,688
summary,670
from,669
answer,661
by,643
tan,637
trigonometric,633
beginequation,624
endequation,624
with,618
as,615
on,611
use,601
two,595
function,569
right,555
problems,548
if,515
can,499
equation,481
triangles,462
you,460
values,453
polar,443
graphs,431
example,408
0degree,407
what,403
form,401
side,398
or,397
one,395
y,391
complex,391
your,388
each,379
coordinates,372
numbers,360
t,359
circle,352
point,349
b,340
subsection,339
pi,339
vector,336
alpha,336
equations,334
ratios,330
its,312
degree,312
law,311
between,311
le,305
solution,304
sketch,300
radians,297
identities,295
solve,287
this,286
sine,281
shown,278
c,273
text,271
thetatext,270
it,269
bfv,267
so,266
be,264
how,263
sides,263
has,263
lt,256
direction,256
not,252
beta,251
solutions,250
write,249
same,247
have,247
then,239
cosine,236
hphantom000,234
sines,231
answers,230
solving,229
all,228
circular,227
checkpoint,226
length,225
figure,224
trig,220
vectors,217
endalign,215
beginalign,215
see,215
cosines,215
number,211
exercises,211
inverse,207
points,206
because,204
distance,204
section,203
given,196
below,194
r,194
unit,191
also,189
formula,183
line,178
sum,178
period,178
calculator,174
tangent,174
equal,171
which,170
using,166
pitext,165
when,165
exact,165
bfw,161
first,159
coordinate,158
similar,158
reference,158
phi,157
other,157
position,156
product,156
horizontal,156
dfracpi2,154
quadrant,154
but,153
trigonometry,151
feet,151
both,149
expression,149
called,147
standard,147
assemblage,146
circles,146
homework,144
cos2,144
decimal,143
sin2,143
5degree,143
sinusoidal,141
will,141
table,140
identity,137
value,137
three,135
know,134
more,134
80degree,133
k,133
why,130
paragraph,129
cdot,129
subsubsection,127
algebra,126
colophon,126
bfu,125
midline,125
following,123
selected,122
amplitude,122
obtuse,122
second,122
there,122
radius,121
opposite,121
arclength,119
area,118
0degreetext,117
measure,117
where,117
positive,115
periodic,115
give,114
difference,114
real,114
xtext,112
they,112
any,111
expressions,110
these,110
reciprocal,109
dot,108
about,108
only,108
explain,107
miles,106
formulas,106
p,105
show,104
rotation,104
thus,103
true,102
does,102
x2,102
magnitude,101
square,100
negative,100
draw,100
places,98
above,98
whose,98
terms,97
height,97
far,96
note,95
round,95
evaluate,95
dfracpi4,94
ratio,94
their,94
terminal,93
part,92
transformations,89
geometric,88
ampamp,87
activity,87
60degree,85
must,84
s,84
four,84
pythagorean,84
degrees,83
long,83
units,83
dfrac3pi2,82
third,82
than,79
should,79
vertical,79
origin,79
north,79
plane,78
into,78
complete,77
60degreetext,76
domain,76
compute,76
arc,76
h,75
components,75
ctext,75
now,74
general,74
tan2,74
laws,74
label,74
dfracpi3,73
skills,73
matter,73
through,73
shows,72
time,72
roots,72
base,72
relationships,72
inches,72
like,71
theorem,70
need,70
meters,70
bfvtext,69
btext,69
range,68
fx,67
calculate,67
index,67
corresponding,67
convert,67
dfracpi6,66
many,66
simplify,66
sec,66
small,66
isin,65
do,65
different,65
problem,65
east,65
front,64
cartesian,64
make,64
dfrac12,64
per,63
pole,63
preface,63
variable,63
refresher,63
i,63
main,62
katherine,62
yoshiwara,61
dfracsin,61
he,61
skip,60
authored,60
pretext,60
prevupnext,59
previous,59
newcommandgt,59
newcommanddegree0circ,59
delimitershortfall1sp,59
pm,59
newcommandlt,59
newcommandbluetext1colorskyblue1,59
contentsprevupnext,59
contents,59
contentnewcommandalert1boldsymbolcolormagenta1,59
newcommandblert1boldsymbolcolorblue1,59
newcommandabs1left1right,59
newcommandamp,59
00degree,58
them,58
indexcalc,58
lengths,58
multiples,58
component,58
csc,58
increases,57
sqrt3,57
plot,57
wheel,57
gt,56
special,56
approx,56
ftheta,55
around,55
hypotenuse,55
acute,55
verify,54
left,54
another,53
choose,53
b2,53
z,53
cot,52
new,52
dfrac5pi4,52
ttext,52
no,52
times,51
speed,51
unknown,51
set,51
let,51
check,51
textand,51
multiply,50
get,50
quadratic,50
xaxis,50
factor,50
add,49
estimate,49
scalar,49
his,49
would,49
betatext,48
n,48
diameter,48
well,48
20degree,48
west,48
always,48
hour,48
w,48
d,48
after,48
revolution,47
delbert,47
grid,47
study,47
dfrac2pi3,46
hint,46
radian,46
earth,46
f,46
dfrac,46
fourth,46
us,46
water,46
some,46
measured,45
gives,45
dfrac3pi4,45
used,45
south,45
state,44
such,44
definition,44
dfracsqrt32,44
force,44
ktext,44
dfrac7pi4,44
y2,44
compare,43
atext,43
may,43
70degree,43
maximum,43
imaginary,43
c2,43
concepts,43
a2,42
order,42
shift,42
was,42
top,41
polynomial,41
questions,41
parts,41
case,41
7degree,41
gx,40
fill,40
hours,40
slope,40
our,40
80degreetext,40
fact,40
up,40
algebraic,40
caution,40
prove,40
suppose,39
those,39
lies,39
just,39
5degreetext,39
rtext,39
rounded,39
next,39
every,39
altitude,38
fraction,38
without,38
possible,38
zero,37
50degree,37
starting,37
minute,37
center,37
location,37
coterminal,37
high,37
lines,36
bfi,36
answer15,36
start,36
cycle,36
30degree,36
inclination,35
equivalent,35
however,35
resultant,35
way,35
answer3,35
quotient,35
she,35
obtain,35
input,34
notice,34
sqrt2,34
ycoordinate,34
isosceles,34
dfrac5pi6,34
light,34
elevation,34
either,34
dfrac1sqrt2,34
useful,33
seconds,33
defined,33
consider,33
remember,33
makes,33
represent,33
moon,33
axis,33
quadrants,33
minutes,32
window,32
except,32
abc,32
francine,32
ground,32
out,31
vertex,31
underlineqquadqquadqquadqquad,31
ferris,31
whether,31
passes,31
hand,31
centimeters,31
replace,31
original,31
answer37,31
congruent,31
due,30
move,30
kilometers,30
look,30
velocity,30
undefined,30
related,30
along,30
tall,30
prime,30
displacement,30
sun,29
recall,29
40degree,29
vocabulary,29
perpendicular,29
here,29
most,29
forms,29
answer11,29
relative,29
variables,29
result,29
bfwtext,29
sector,29
model,29
parallelogram,29
minimum,29
g,28
phitext,28
often,28
adding,28
xy,28
ptext,28
alphatext,28
level,28
supplementary,28
system,28
answer25,28
degreetext,28
finally,28
counterclockwise,28
dfracpi2text,28
over,27
ge,27
exercise,27
map,27
10degree,27
illustrate,27
bearing,27
her,27
definitions,27
located,27
item,27
xcoordinate,27
foot,27
object,27
size,26
answer31,26
cos1,26
answer7,26
answer41,26
answer29,26
again,26
output,26
apply,26
down,26
across,26
exactly,26
double,26
35degree,26
answer23,26
segment,26
describe,26
substitute,26
2degree,26
represents,26
begin,25
repeat,25
day,25
key,25
false,25
smallest,25
ab,25
centered,25
heading,25
rule,25
ft,25
six,25
hundredths,25
answer19,25
shifted,25
pressure,25
cm,25
approximations,25
known,25
notation,25
straight,25
instead,25
bfj,25
proportional,25
answer17,24
answer21,24
answer35,24
u,24
ycos,24
examples,24
–8,24
textor,24
say,24
change,24
follows,24
directions,24
addition,24
define,24
measures,24
cannot,24
dtext,24
alternate,24
ysin,24
answer9,24
correct,24
answer5,24
tide,24
constant,23
enter,23
decide,23
course,23
bottom,23
sometimes,23
theta1,23
yards,23
answer13,23
work,23
intersection,23
appropriate,23
tree,23
approximately,23
0text,23
involving,23
conjugate,23
dfrac4pi3,23
circumference,23
greater,23
axes,23
6degree,22
travel,22
current,22
curve,22
hphantom00,22
apart,22
dfracyx,22
wind,22
m,22
approximation,22
lie,22
particular,22
zeros,22
formed,22
15degree,22
properties,22
8degree,22
answer49,22
answer55,21
answer45,21
directly,21
described,21
equilateral,21
underlinehspace2727272727272727em,21
substitution,21
secant,21
happens,21
found,21
–6,21
sign,21
answer47,21
answer43,21
htext,21
irrational,21
thetacos,21
answer33,21
cotangent,21
km,21
answer27,21
half,21
q,21
adjacent,21
written,21
help,21
determined,21
rcos,21
single,21
results,21
important,21
think,21
create,21
dfrac7pi6,21
nearest,21
test,20
answer39,20
once,20
rectangle,20
temperature,20
textthe,20
onetoone,20
1text,20
days,20
protractor,20
answer57,20
finding,20
dfracsqrt22,20
answer51,20
ytext,20
